,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
10,2020,2020-11-22,10,11,23.348,CIN,@,WAS,L 9-20,*,22,34,64.71,203,1,0,90.7,0,0,5.97,6.56,2,12,6.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,50,74%,0,0%,0,0%,
11,2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2020,2020-12-06,12,13,,CIN,@,MIA,L 7-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2020,2020-12-13,13,14,,CIN,,DAL,L 7-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2020,2020-12-21,14,15,,CIN,,PIT,W 27-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2020,2020-12-27,15,16,,CIN,@,HOU,W 37-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2020,2021-01-03,16,17,,CIN,,BAL,L 3-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2021,2021-09-12,1,1,24.276,CIN,,MIN,W 27-24,*,20,27,74.07,261,2,0,128.8,5,44,9.67,11.15,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
18,2021,2021-09-19,2,2,24.283,CIN,@,CHI,L 17-20,*,19,30,63.33,207,2,3,66.2,5,28,6.90,3.73,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
19,2021,2021-09-26,3,3,24.290,CIN,@,PIT,W 24-10,*,14,18,77.78,172,3,1,122.9,0,0,9.56,10.39,5,7,1.40,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%,
20,2021,2021-09-30,4,4,24.294,CIN,,JAX,W 24-21,*,25,32,78.13,348,2,0,132.8,1,6,10.88,12.13,3,4,1.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
21,2021,2021-10-10,5,5,24.304,CIN,,GNB,L 22-25,*,26,38,68.42,281,2,2,85.5,3,17,7.39,6.08,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
22,2021,2021-10-17,6,6,24.311,CIN,@,DET,W 34-11,*,19,29,65.52,271,3,1,115.7,2,22,9.34,9.86,5,20,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,
23,2021,2021-10-24,7,7,24.318,CIN,@,BAL,W 41-17,*,23,38,60.53,416,3,1,113.5,1,7,10.95,11.34,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,
24,2021,2021-10-31,8,8,24.325,CIN,@,NYJ,L 31-34,*,21,34,61.76,259,3,1,102.5,3,28,7.62,8.06,1,-1,-1.00,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,55,100%,0,0%,0,0%,
25,2021,2021-11-07,9,9,24.332,CIN,,CLE,L 16-41,*,28,40,70.00,282,0,2,69.0,5,25,7.05,4.80,2,1,0.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,69,92%,0,0%,0,0%,
26,2021,2021-11-21,10,11,24.346,CIN,@,LVR,W 32-13,*,20,29,68.97,148,1,0,92.3,3,19,5.10,5.79,3,11,3.67,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
27,2021,2021-11-28,11,12,24.353,CIN,,PIT,W 41-10,*,20,24,83.33,190,1,1,96.2,2,18,7.92,6.88,1,8,8.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,
28,2021,2021-12-05,12,13,24.360,CIN,,LAC,L 22-41,*,24,40,60.00,300,1,2,70.8,6,40,7.50,5.75,1,6,6.00,1,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,76,100%,0,0%,0,0%,
29,2021,2021-12-12,13,14,25.002,CIN,,SFO,L 23-26,*,25,34,73.53,348,2,0,125.6,5,37,10.24,11.41,2,3,1.50,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,67,100%,0,0%,0,0%,
30,2021,2021-12-19,14,15,25.009,CIN,@,DEN,W 15-10,*,15,22,68.18,157,1,0,103.8,3,21,7.14,8.05,5,25,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
31,2021,2021-12-26,15,16,25.016,CIN,,BAL,W 41-21,*,37,46,80.43,525,4,0,143.2,3,27,11.41,13.15,2,11,5.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
32,2021,2022-01-02,16,17,25.023,CIN,,KAN,W 34-31,*,30,39,76.92,446,4,0,148.0,4,31,11.44,13.49,5,10,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
33,2021,2022-01-09,17,18,,CIN,@,CLE,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2022,2022-09-11,1,1,25.275,CIN,,PIT,L 20-23,*,33,53,62.26,338,2,4,61.7,7,39,6.38,3.74,6,47,7.83,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,100,100%,0,0%,0,0%,
35,2022,2022-09-18,2,2,25.282,CIN,@,DAL,L 17-20,*,24,36,66.67,199,1,0,89.9,6,34,5.53,6.08,4,26,6.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,
36,2022,2022-09-25,3,3,25.289,CIN,@,NYJ,W 27-12,*,23,36,63.89,275,3,0,114.9,2,14,7.64,9.31,5,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
37,2022,2022-09-29,4,4,25.293,CIN,,MIA,W 27-15,*,20,31,64.52,287,2,0,115.9,1,6,9.26,10.55,5,6,1.20,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
38,2022,2022-10-09,5,5,25.303,CIN,@,BAL,L 17-19,*,24,35,68.57,217,1,1,82.7,2,15,6.20,5.49,3,6,2.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
39,2022,2022-10-16,6,6,25.310,CIN,@,NOR,W 30-26,*,28,37,75.68,300,3,0,126.0,3,27,8.11,9.73,4,25,6.25,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
40,2022,2022-10-23,7,7,25.317,CIN,,ATL,W 35-17,*,34,42,80.95,481,3,0,138.2,3,22,11.45,12.88,3,20,6.67,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
41,2022,2022-10-31,8,8,25.325,CIN,@,CLE,L 13-32,*,25,35,71.43,232,2,1,96.4,5,39,6.63,6.49,1,2,2.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,100%,0,0%,0,0%,
42,2022,2022-11-06,9,9,25.331,CIN,,CAR,W 42-21,*,22,28,78.57,206,1,0,109.2,1,5,7.36,8.07,4,9,2.25,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,
43,2022,2022-11-20,10,11,25.345,CIN,@,PIT,W 37-30,*,24,39,61.54,355,4,2,104.1,2,9,9.10,8.85,4,5,1.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
44,2022,2022-11-27,11,12,25.352,CIN,@,TEN,W 20-16,*,22,37,59.46,270,1,0,91.0,1,4,7.30,7.84,9,32,3.56,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
45,2022,2022-12-04,12,13,25.359,CIN,,KAN,W 27-24,*,25,31,80.65,286,2,0,126.6,1,7,9.23,10.52,11,46,4.18,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
46,2022,2022-12-11,13,14,26.001,CIN,,CLE,W 23-10,*,18,33,54.55,239,2,1,85.3,1,3,7.24,7.09,6,10,1.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
47,2022,2022-12-18,14,15,26.008,CIN,@,TAM,W 34-23,*,27,39,69.23,200,4,1,104.6,2,16,5.13,6.03,3,8,2.67,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,
48,2022,2022-12-24,15,16,26.014,CIN,@,NWE,W 22-18,*,40,52,76.92,375,3,2,99.4,2,6,7.21,6.63,4,5,1.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
49,2022,2023-01-08,16,18,26.029,CIN,,BAL,W 27-16,*,25,42,59.52,215,1,0,81.0,2,13,5.12,5.60,3,10,3.33,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,
,,42 Games,,,,,,,24-17-1,,1044,1530,68.24,11774,82,31,100.4,124,860,7.70,7.86,152,517,3.40,10,10,60,0.0,1,0,1,0,0,20,9,0,6,-27,0,,,,,,,
