Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Thanasis Antetokounmpo,SF,30,MIL,1,0.0,,,0
Ryan Arcidiacono,PG,28,NYK,1,0.0,,,0
Bismack Biyombo,C,30,PHO,2,0.0,.000,.000,0
Buddy Boeheim,PG,23,DET,1,0.0,,,0
Leandro Bolmaro,SG,22,UTA,1,0.0,,,0
Brandon Boston Jr.,SG,21,LAC,1,0.0,.000,.000,0
Tony Bradley,C,25,CHI,2,0.0,.000,.000,0
Vlatko Čančar,PF,25,DEN,1,0.0,.000,.000,0
Kennedy Chandler,PG,20,MEM,1,0.0,.000,.000,0
Dyson Daniels,PG,19,NOP,1,0.0,.000,.000,0
Trent Forrest,PG,24,ATL,1,0.0,,,0
Wenyen Gabriel,PF,25,LAL,1,0.0,.000,.000,0
AJ Green,SG,23,MIL,1,0.0,,,0
Jaden Hardy,SG,20,DAL,1,0.0,.000,.000,0
Jaxson Hayes,C,22,NOP,1,0.0,.000,.000,0
Juancho Hernangómez,PF,27,TOR,1,0.0,,,0
Haywood Highsmith,SF,26,MIA,3,0.0,.000,.000,0
Malcolm Hill,SF,27,CHI,1,0.0,,,0
Trevor Keels,SG,19,NYK,1,0.0,.000,.000,0
Nathan Knight,PF,25,MIN,2,0.0,,,0
Furkan Korkmaz,SG,25,PHI,1,0.0,.000,.000,0
Vit Krejci,PG,22,ATL,1,0.0,,,0
Sandro Mamukelashvili,C,23,MIL,1,0.0,,,0
Cody Martin,SF,27,CHO,1,0.0,,,0
Miles McBride,PG,22,NYK,1,0.0,,,0
Shake Milton,SG,26,PHI,1,0.0,,,0
Wendell Moore Jr.,SG,21,MIN,1,0.0,.000,.000,0
Jason Preston,PG,23,LAC,1,0.0,.000,.000,0
Paul Reed,PF,23,PHI,2,0.0,.000,.000,0
Austin Rivers,SG,30,MIN,2,0.0,.000,.000,0
Ryan Rollins,PG,20,GSW,2,0.0,.000,.000,0
Dario Šarić,PF,28,PHO,1,0.0,.000,.000,0
Marko Simonovic,C,23,CHI,1,0.0,.000,.000,0
Jericho Sims,C,24,NYK,1,0.0,,,0
Ish Smith,PG,34,DEN,2,0.0,.000,.000,0
Lamar Stevens,PF,25,CLE,1,0.0,.000,.000,0
Cole Swider,SF,23,LAL,1,0.0,.000,.000,0
Dalen Terry,SG,20,CHI,2,0.0,.000,.000,0
Matisse Thybulle,SG,25,PHI,4,0.0,.000,.000,0
Duane Washington Jr.,SG,22,PHO,1,0.0,.000,.000,0
Yuta Watanabe,SF,28,BRK,2,0.0,.000,.000,0
Vince Williams Jr.,SG,22,MEM,1,0.0,.000,.000,0
