Player,Pos,Age,G,FG,FG%,eFG%,PTS
Joel Embiid,C,29,39,11.5,0.529,0.561,34.7
Luka Dončić,PG,24,70,11.5,0.487,0.573,33.9
Giannis Antetokounmpo,PF,29,73,11.5,0.611,0.624,30.4
Shai Gilgeous-Alexander,PG,25,75,10.6,0.535,0.567,30.1
Jalen Brunson,PG,27,77,10.3,0.479,0.543,28.7
Devin Booker,PG,27,68,9.4,0.492,0.55,27.1
Kevin Durant,PF,35,75,10,0.523,0.581,27.1
Jayson Tatum,PF,25,74,9.1,0.471,0.552,26.9
De'Aaron Fox,PG,26,74,9.7,0.465,0.534,26.6
Donovan Mitchell,SG,27,55,9.1,0.462,0.545,26.6
Stephen Curry,PG,35,74,8.8,0.45,0.573,26.4
Nikola Jokić,C,28,79,10.4,0.583,0.612,26.4
Anthony Edwards,SG,22,79,9.1,0.461,0.522,25.9
Tyrese Maxey,PG,23,70,9.1,0.45,0.524,25.9
LeBron James,PF,39,71,9.6,0.54,0.599,25.7
Trae Young,PG,25,54,8,0.43,0.516,25.7
Kyrie Irving,SG,31,58,9.7,0.497,0.573,25.6
Ja Morant,PG,24,9,8.9,0.471,0.512,25.1
Anthony Davis,C,30,76,9.4,0.556,0.567,24.7
Damian Lillard,PG,33,73,7.4,0.424,0.51,24.3
DeMar DeRozan,SF,34,79,8.2,0.48,0.507,24
Julius Randle,PF,29,46,8.6,0.472,0.518,24
LaMelo Ball,PG,22,22,8.3,0.433,0.515,23.9
Desmond Bane,SG,25,42,8.6,0.464,0.552,23.7
Kawhi Leonard,SF,32,68,9,0.525,0.585,23.7
Lauri Markkanen,PF,26,55,7.8,0.48,0.578,23.2
Terry Rozier,SG,29,30,8.4,0.459,0.535,23.2
Jaylen Brown,SF,27,70,9,0.499,0.557,23
Zion Williamson,PF,23,70,8.9,0.57,0.573,22.9
Cade Cunningham,PG,22,62,8.5,0.449,0.5,22.7
Paolo Banchero,PF,21,80,8,0.455,0.497,22.6
Paul George,PF,33,74,7.9,0.471,0.569,22.6
Anfernee Simons,SG,24,46,7.8,0.43,0.523,22.6
Jaren Jackson Jr.,C,24,66,7.8,0.444,0.494,22.5
Dejounte Murray,SG,27,78,8.6,0.459,0.528,22.5
Cam Thomas,SG,22,66,8,0.442,0.503,22.5
Kyle Kuzma,PF,28,70,8.7,0.463,0.521,22.2
Pascal Siakam,PF,29,39,8.3,0.522,0.559,22.2
Karl-Anthony Towns,PF,28,62,7.7,0.504,0.575,21.8
RJ Barrett,SG,23,32,8.5,0.553,0.601,21.8
Pascal Siakam,PF,29,80,8.5,0.536,0.569,21.7
Victor Wembanyama,C,20,71,7.8,0.465,0.519,21.4
Pascal Siakam,PF,29,41,8.7,0.549,0.579,21.3
Jamal Murray,PG,26,59,8,0.481,0.554,21.2
Alperen Sengun,C,21,63,8.4,0.537,0.553,21.1
Miles Bridges,SF,25,69,8.1,0.462,0.527,21
Jerami Grant,PF,29,54,7.1,0.451,0.516,21
Jimmy Butler,PF,34,60,6.6,0.499,0.537,20.8
Tyler Herro,SG,24,42,7.7,0.441,0.531,20.8
Brandon Ingram,SF,26,64,7.8,0.492,0.534,20.8
RJ Barrett,SG,23,58,7.5,0.495,0.547,20.2
Bojan Bogdanović,PF,34,28,7.1,0.468,0.569,20.2
Tyrese Haliburton,PG,23,69,7.2,0.477,0.57,20.1
Kristaps Porziņģis,C,28,57,6.8,0.516,0.589,20.1
CJ McCollum,PG,32,66,7.3,0.459,0.572,20
Scottie Barnes,SG,22,60,7.5,0.475,0.528,19.9
Terry Rozier,SG,29,61,7.2,0.443,0.518,19.8
Franz Wagner,SF,22,72,7.3,0.482,0.525,19.7
Mikal Bridges,SF,27,82,6.9,0.436,0.521,19.6
Jalen Green,SG,21,82,6.9,0.423,0.498,19.6
Zach LaVine,SG,28,25,6.8,0.452,0.531,19.5
Devin Vassell,SG,23,68,7.3,0.472,0.55,19.5
Domantas Sabonis,C,27,82,7.7,0.594,0.609,19.4
Bam Adebayo,C,26,71,7.5,0.521,0.529,19.3
Coby White,PG,23,79,6.8,0.447,0.534,19.1
Jalen Williams,PF,22,71,7.5,0.54,0.592,19.1
Collin Sexton,SG,25,78,6.5,0.487,0.549,18.7
Immanuel Quickley,PG,24,38,6.2,0.422,0.518,18.6
RJ Barrett,SG,23,26,6.3,0.423,0.478,18.2
Bradley Beal,SG,30,53,7.1,0.513,0.582,18.2
Darius Garland,PG,24,57,6.6,0.446,0.524,18
D'Angelo Russell,PG,27,76,6.5,0.456,0.56,18
Nikola Vučević,C,33,76,7.7,0.484,0.522,18
Klay Thompson,SF,33,77,6.4,0.432,0.551,17.9
Jordan Poole,SG,24,78,6.3,0.413,0.491,17.4
Fred VanVleet,PG,29,73,5.8,0.416,0.527,17.4
Brandon Miller,SF,21,74,6.4,0.44,0.524,17.3
Tobias Harris,PF,31,70,6.6,0.487,0.535,17.2
Jordan Clarkson,SG,31,55,6.1,0.413,0.469,17.1
Myles Turner,C,27,77,6.2,0.524,0.587,17.1
Immanuel Quickley,SG,24,68,5.7,0.434,0.53,17
Bogdan Bogdanović,SG,31,79,6,0.428,0.537,16.9
Deandre Ayton,C,25,55,7.8,0.57,0.571,16.7
Michael Porter Jr.,SF,25,81,6.4,0.484,0.586,16.7
Dalano Banton,PG,24,30,6.1,0.408,0.471,16.7
James Harden,PG,34,72,4.9,0.428,0.541,16.6
Jarrett Allen,C,25,77,6.7,0.634,0.634,16.5
Chet Holmgren,C,21,82,6.2,0.53,0.598,16.5
Terry Rozier,PG,29,31,6.1,0.423,0.497,16.4
Jonathan Kuminga,PF,21,74,6.2,0.529,0.56,16.1
Jalen Johnson,SF,22,56,6.4,0.511,0.562,16
Austin Reaves,SG,25,82,5.6,0.486,0.568,15.9
Shaedon Sharpe,SG,20,32,5.5,0.406,0.475,15.9
Malcolm Brogdon,PG,31,39,5.6,0.44,0.522,15.7
Keldon Johnson,SF,24,69,5.7,0.454,0.527,15.7
Evan Mobley,PF,22,50,6.4,0.58,0.6,15.7
De'Andre Hunter,SF,26,57,5.3,0.459,0.547,15.6
Donte DiVincenzo,SG,27,81,5.5,0.443,0.584,15.5
Jaden Ivey,SG,21,77,5.4,0.429,0.492,15.4
Malik Monk,SG,25,72,5.5,0.443,0.526,15.4
Kelly Oubre Jr.,SF,28,68,5.7,0.441,0.498,15.4
Simone Fontecchio,SF,28,16,5.7,0.479,0.592,15.4
Bojan Bogdanović,PF,34,57,5.4,0.454,0.551,15.2
Keegan Murray,SF,23,77,5.8,0.454,0.548,15.2
Derrick White,SG,29,73,5.3,0.461,0.578,15.2
John Collins,PF,26,68,5.8,0.532,0.59,15.1
Khris Middleton,SF,32,55,5.8,0.493,0.566,15.1
OG Anunoby,SF,26,27,5.8,0.489,0.584,15.1
Immanuel Quickley,SG,24,30,5.1,0.454,0.549,15
Trey Murphy III,SF,23,57,4.8,0.443,0.579,14.8
OG Anunoby,SF,26,50,5.6,0.489,0.577,14.7
Deni Avdija,SF,23,75,5.4,0.506,0.56,14.7
GG Jackson II,PF,19,48,5,0.428,0.519,14.6
Dennis Schröder,PG,30,29,5.4,0.424,0.507,14.6
Bennedict Mathurin,SF,21,59,5,0.446,0.507,14.5
Marcus Smart,PG,29,20,5.1,0.43,0.519,14.5
Gordon Hayward,SF,33,25,5.6,0.468,0.505,14.5
Tim Hardaway Jr.,SF,31,79,5,0.402,0.51,14.4
OG Anunoby,SF,26,23,5.4,0.488,0.568,14.1
Dennis Schröder,PG,30,80,5,0.435,0.509,14
Rudy Gobert,C,31,76,5.3,0.661,0.661,14
Scoot Henderson,PG,19,62,5,0.385,0.44,14
Caris LeVert,SG,29,68,5.1,0.421,0.487,14
Aaron Gordon,PF,28,73,5.5,0.556,0.584,13.9
Norman Powell,SG,30,76,4.9,0.486,0.594,13.9
Grant Williams,PF,25,29,5,0.503,0.585,13.9
Jalen Duren,C,20,61,5.7,0.619,0.619,13.8
Bobby Portis,PF,28,82,5.7,0.508,0.562,13.8
Kenneth Lofton Jr.,PF,21,4,5.3,0.6,0.657,13.8
Dennis Schröder,PG,30,51,4.8,0.442,0.511,13.7
Saddiq Bey,SF,24,63,4.6,0.416,0.497,13.7
Jabari Smith Jr.,PF,20,76,5,0.454,0.537,13.7
Gary Trent Jr.,SG,25,71,5.1,0.426,0.531,13.7
Rui Hachimura,PF,25,68,5.3,0.537,0.609,13.6
P.J. Washington,PF,25,44,5.2,0.446,0.524,13.6
Grayson Allen,SG,28,75,4.5,0.499,0.649,13.5
Naz Reid,C,24,81,5,0.477,0.576,13.5
Cameron Johnson,PF,27,58,4.8,0.446,0.557,13.4
Corey Kispert,SF,24,80,4.8,0.486,0.602,13.4
Marvin Bagley III,C,24,24,5.5,0.581,0.599,13.3
Andrew Wiggins,SF,28,71,5,0.453,0.511,13.2
Keyonte George,PG,20,75,4.3,0.391,0.482,13
P.J. Washington,PF,25,73,4.8,0.436,0.518,12.9
Scotty Pippen Jr.,PG,23,21,4.8,0.493,0.567,12.9
Duncan Robinson,SF,29,68,4.5,0.45,0.589,12.9
Dillon Brooks,SF,28,72,4.6,0.428,0.515,12.7
Mark Williams,C,22,19,5.2,0.649,0.649,12.7
Kelly Olynyk,C,32,28,4.7,0.548,0.598,12.7
Jalen Suggs,SG,22,75,4.5,0.471,0.578,12.6
Spencer Dinwiddie,PG,30,48,4.1,0.391,0.48,12.6
Alec Burks,SG,32,43,3.7,0.394,0.516,12.6
Jrue Holiday,PG,33,69,4.8,0.48,0.581,12.5
Brook Lopez,C,35,79,4.6,0.485,0.583,12.5
Josh Giddey,SG,21,80,5,0.475,0.523,12.3
Cam Whitmore,SF,19,47,4.5,0.454,0.539,12.3
Harrison Barnes,PF,31,82,4.2,0.474,0.576,12.2
Ayo Dosunmu,SG,24,76,4.7,0.501,0.583,12.2
Javonte Green,SF,30,9,5,0.6,0.667,12.2
Aaron Nesmith,SF,24,72,4.4,0.496,0.606,12.2
Max Strus,SF,27,70,4.3,0.418,0.533,12.2
Jonas Valančiūnas,C,31,82,4.9,0.559,0.585,12.2
Buddy Hield,SG,31,32,4.4,0.426,0.55,12.2
Buddy Hield,SF,31,84,4.4,0.436,0.565,12.1
Bruce Brown,SG,27,33,4.5,0.475,0.527,12.1
Buddy Hield,SF,31,52,4.4,0.443,0.575,12
Tyus Jones,PG,27,66,4.9,0.489,0.569,12
Jaime Jaquez Jr.,SF,22,75,4.5,0.489,0.536,11.9
Tre Mann,PG,22,28,4.5,0.453,0.524,11.9
Nic Claxton,C,24,71,5.2,0.629,0.63,11.8
P.J. Washington,PF,25,29,4.4,0.421,0.508,11.7
Marvin Bagley III,C,24,50,4.8,0.586,0.597,11.7
Ivica Zubac,C,26,68,5,0.649,0.649,11.7
Cole Anthony,PG,23,81,4.1,0.435,0.496,11.6
Jeremy Sochan,PF,20,74,4.6,0.438,0.483,11.6
Clint Capela,C,29,73,4.8,0.571,0.571,11.5
Lamar Stevens,PF,26,19,4.6,0.446,0.474,11.5
Mike Conley,PG,36,76,3.9,0.457,0.595,11.4
Malik Beasley,SG,27,79,4.1,0.443,0.598,11.3
Brandon Clarke,PF,27,6,5.5,0.559,0.568,11.3
Zach Collins,C,26,69,4.3,0.484,0.531,11.2
Daniel Gafford,PF,25,29,5,0.78,0.78,11.2
De'Anthony Melton,SG,25,38,3.7,0.386,0.493,11.1
Jakob Poeltl,C,28,50,5,0.656,0.656,11.1
Russell Westbrook,PG,35,68,4.4,0.454,0.486,11.1
Daniel Gafford,PF,25,74,4.7,0.725,0.725,11
Wendell Carter Jr.,C,24,55,4.1,0.525,0.6,11
Eric Gordon,SG,35,68,4,0.443,0.565,11
Herbert Jones,SF,25,76,3.9,0.498,0.595,11
Luke Kennard,SG,27,39,3.6,0.448,0.617,11
Daniel Gafford,C,25,45,4.5,0.69,0.69,10.9
Luguentz Dort,SF,24,79,3.6,0.438,0.557,10.9
Jusuf Nurkić,C,29,76,4.2,0.51,0.528,10.9
