Player,Pos,Age,G,FG,FG%,eFG%,PTS
Isaiah Stewart,PF,22,46,4,0.487,0.575,10.9
Moritz Wagner,C,26,80,4.2,0.601,0.636,10.9
Bruce Brown,SG,27,67,4.1,0.478,0.523,10.8
Jake LaRavia,PF,22,35,3.4,0.389,0.477,10.8
Vasilije Micić,PG,30,30,4.1,0.437,0.495,10.8
Santi Aldama,PF,23,61,4,0.435,0.528,10.7
Simone Fontecchio,SF,28,66,3.8,0.46,0.582,10.5
Spencer Dinwiddie,PG,30,76,3.3,0.392,0.489,10.5
Jaden McDaniels,SF,23,72,4.3,0.489,0.557,10.5
Chimezie Metu,C,26,14,4.1,0.5,0.557,10.5
Bojan Bogdanović,SF,34,29,3.8,0.43,0.521,10.4
Alec Burks,SG,32,66,3.2,0.369,0.478,10.4
Dalano Banton,PG,24,54,3.7,0.404,0.463,10.3
Grant Williams,PF,25,76,3.6,0.456,0.56,10.3
Obi Toppin,PF,25,82,4,0.573,0.661,10.3
Marvin Bagley III,C,24,26,4.1,0.591,0.594,10.2
Kevin Huerter,SG,25,64,3.9,0.443,0.553,10.2
Reggie Jackson,PG,33,82,4,0.431,0.499,10.2
T.J. McConnell,PG,31,71,4.6,0.556,0.572,10.2
Onyeka Okongwu,C,23,55,4.1,0.611,0.642,10.2
Kentavious Caldwell-Pope,SG,30,76,3.6,0.46,0.566,10.1
Alex Caruso,SG,29,71,3.6,0.468,0.593,10.1
Talen Horton-Tucker,PG,23,51,3.6,0.396,0.46,10.1
Tre Jones,PG,24,77,3.9,0.505,0.558,10
Caleb Martin,SF,28,64,3.8,0.431,0.504,10
Patrick Williams,PF,22,43,3.7,0.443,0.525,10
Vince Williams Jr.,SG,23,52,3.3,0.446,0.55,10
Jordan Goodwin,PG,25,17,3.9,0.349,0.399,10
Josh Richardson,SG,30,43,3.6,0.444,0.539,9.9
Jalen Smith,C,23,61,3.8,0.592,0.67,9.9
Gordon Hayward,SF,33,51,3.7,0.464,0.51,9.8
Kelly Olynyk,C,32,78,3.5,0.555,0.616,9.8
Tari Eason,PF,22,22,4,0.466,0.513,9.8
Nick Richards,C,26,67,3.9,0.691,0.691,9.7
Lonnie Walker IV,SG,25,58,3.6,0.423,0.528,9.7
Bruce Brown,PG,27,34,3.8,0.481,0.519,9.6
Payton Pritchard,PG,26,82,3.6,0.468,0.583,9.6
Amen Thompson,SF,21,62,3.9,0.536,0.545,9.5
Josh Hart,SF,28,81,3.6,0.434,0.493,9.4
Georges Niang,PF,30,82,3.5,0.449,0.567,9.4
Isaac Okoro,SF,23,69,3.4,0.49,0.577,9.4
Tre Mann,PG,22,41,3.5,0.459,0.533,9.3
Cameron Payne,PG,29,31,3.5,0.413,0.514,9.3
Malaki Branham,PG,20,75,3.6,0.432,0.506,9.2
Andrew Nembhard,PG,24,68,3.8,0.498,0.557,9.2
Chris Paul,PG,38,58,3.6,0.441,0.525,9.2
Brandin Podziemski,SG,20,74,3.7,0.454,0.529,9.2
Duop Reath,C,27,68,3.4,0.461,0.549,9.1
Sam Hauser,SF,26,79,3.2,0.446,0.623,9
Seth Curry,SG,33,8,3.3,0.441,0.517,9
Simone Fontecchio,SF,28,50,3.2,0.45,0.577,8.9
Taurean Prince,PF,29,78,3.2,0.442,0.566,8.9
Jabari Walker,SF,21,72,3.3,0.46,0.5,8.9
Dereck Lively II,C,19,55,4,0.747,0.747,8.8
Kevin Love,PF,35,55,2.9,0.44,0.557,8.8
Terance Mann,SG,27,75,3.4,0.515,0.587,8.8
Ausar Thompson,SF,21,63,3.7,0.483,0.505,8.8
Dāvis Bertāns,PF,31,28,2.9,0.394,0.553,8.8
Danilo Gallinari,SF,35,6,2,0.545,0.705,8.7
Draymond Green,PF,33,55,3.4,0.497,0.566,8.6
Al Horford,C,37,65,3.3,0.511,0.64,8.6
Derrick Jones Jr.,SF,26,76,3.1,0.483,0.566,8.6
Gradey Dick,SG,20,60,3.2,0.425,0.524,8.5
Dorian Finney-Smith,PF,30,68,3.2,0.421,0.535,8.5
Tristan Vukcevic,C,20,10,2.9,0.433,0.507,8.5
Bilal Coulibaly,SF,19,63,3,0.435,0.509,8.4
Andre Drummond,C,30,79,3.4,0.556,0.556,8.4
David Roddy,PF,22,48,3.2,0.402,0.462,8.4
Miles McBride,PG,23,68,3,0.452,0.572,8.3
Marcus Sasser,PG,23,71,3.1,0.428,0.516,8.3
Josh Green,SG,23,57,3.1,0.479,0.575,8.2
Isaiah Joe,SG,24,78,2.8,0.458,0.609,8.2
Ziaire Williams,SF,22,51,2.9,0.397,0.474,8.2
Kyle Lowry,PG,37,37,2.8,0.426,0.554,8.2
Grant Williams,PF,25,47,2.8,0.413,0.538,8.1
Kelly Olynyk,C,32,50,2.9,0.562,0.632,8.1
Kyle Lowry,PG,37,60,2.7,0.432,0.562,8.1
Walker Kessler,C,22,64,3.6,0.654,0.66,8.1
Moses Moody,SG,21,66,2.9,0.462,0.548,8.1
Royce O'Neale,SF,30,30,2.9,0.411,0.549,8.1
Kyle Lowry,PG,37,23,2.6,0.444,0.578,8
Nickeil Alexander-Walker,SG,25,82,2.9,0.439,0.56,8
Sam Merrill,SG,27,61,2.6,0.402,0.584,8
Derrick Rose,PG,35,24,3.2,0.461,0.506,8
Dario Šarić,C,29,64,2.8,0.466,0.562,8
Malachi Flynn,PG,25,24,3,0.43,0.503,8
Darius Bazley,PF,23,6,3,0.621,0.655,8
Trayce Jackson-Davis,PF,23,68,3.4,0.702,0.702,7.9
Jordan Nwora,SF,25,34,3,0.465,0.541,7.9
Dante Exum,PG,28,55,2.9,0.533,0.621,7.8
Markelle Fultz,PG,25,43,3.6,0.472,0.479,7.8
Isaiah Hartenstein,C,25,75,3.1,0.644,0.645,7.8
Jordan Hawkins,SG,21,67,2.6,0.382,0.501,7.8
Royce O'Neale,SF,30,79,2.7,0.397,0.542,7.7
RaiQuan Gray,PF,24,3,3.3,0.588,0.676,7.7
Nikola Jović,PF,20,46,2.8,0.452,0.568,7.7
Precious Achiuwa,C,24,25,3.1,0.459,0.497,7.7
Precious Achiuwa,PF,24,74,3.2,0.501,0.529,7.6
Precious Achiuwa,PF,24,49,3.2,0.525,0.547,7.6
Toumani Camara,PF,23,70,2.8,0.45,0.516,7.5
Cody Martin,SF,28,28,2.9,0.381,0.444,7.5
Brice Sensabaugh,SF,20,32,2.7,0.39,0.468,7.5
Jaylen Nowell,SG,24,4,3,0.522,0.565,7.5
Royce O'Neale,SF,30,49,2.6,0.388,0.537,7.4
Cameron Payne,PG,29,78,2.7,0.432,0.541,7.4
Trey Jemison,C,24,23,3.3,0.551,0.551,7.4
Aleksej Pokusevski,PF,22,18,2.5,0.429,0.505,7.4
Christian Braun,SG,22,82,2.7,0.46,0.525,7.3
Jaden Hardy,SG,21,73,2.7,0.407,0.492,7.3
Taylor Hendricks,PF,20,40,2.7,0.45,0.56,7.3
Paul Reed,C,24,82,3.2,0.54,0.561,7.3
Quentin Grimes,SG,23,45,2.5,0.395,0.53,7.3
Lamar Stevens,PF,26,38,2.8,0.45,0.479,7.2
Johnny Juzang,SG,22,20,2.6,0.464,0.609,7.2
Kevin Knox,SF,24,31,2.8,0.462,0.546,7.2
Trey Lyles,PF,28,58,2.5,0.445,0.576,7.2
Evan Fournier,SG,31,29,2.6,0.373,0.45,7.2
Jose Alvarado,PG,25,56,2.5,0.412,0.525,7.1
Naji Marshall,SF,26,66,2.6,0.463,0.542,7.1
Landry Shamet,SG,26,46,2.6,0.431,0.527,7.1
James Wiseman,C,22,63,3,0.613,0.613,7.1
Richaun Holmes,PF,30,17,2.9,0.557,0.563,7.1
Vasilije Micić,PG,30,60,2.7,0.43,0.488,7
Jordan Nwora,SF,25,52,2.7,0.462,0.535,7
Quentin Grimes,SG,23,51,2.4,0.372,0.495,7
Javon Freeman-Liberty,PG,24,22,2.5,0.444,0.484,7
Tosan Evbuomwan,SF,22,13,2.5,0.571,0.661,7
Danilo Gallinari,PF,35,26,2.2,0.435,0.511,7
Evan Fournier,SG,31,32,2.5,0.357,0.432,6.9
Gary Harris,SG,29,54,2.4,0.441,0.569,6.9
Killian Hayes,PG,22,42,2.8,0.413,0.452,6.9
Bones Hyland,PG,23,37,2.6,0.386,0.474,6.9
Mãozinha Pereira,SF,23,7,2.6,0.514,0.586,6.9
Trendon Watford,PF,23,63,2.6,0.527,0.571,6.9
Aaron Wiggins,SG,25,78,2.7,0.562,0.645,6.9
Christian Wood,PF,28,50,2.5,0.466,0.532,6.9
Spencer Dinwiddie,PG,30,28,2,0.397,0.521,6.8
Trey Jemison,C,24,25,3,0.551,0.551,6.8
Julian Champagnie,SF,22,74,2.2,0.408,0.534,6.8
Jonathan Isaac,PF,26,58,2.5,0.51,0.584,6.8
Cedi Osman,SF,28,72,2.6,0.479,0.591,6.8
Day'Ron Sharpe,C,22,61,2.8,0.571,0.578,6.8
Cason Wallace,SG,20,82,2.6,0.491,0.602,6.8
Robert Williams,C,26,6,2.8,0.654,0.654,6.8
Shake Milton,SG,27,4,2.8,0.423,0.481,6.8
Dāvis Bertāns,PF,31,43,2.1,0.393,0.556,6.7
Jahmi'us Ramsey,SG,22,7,2.6,0.439,0.512,6.7
Peyton Watson,SF,21,80,2.6,0.465,0.516,6.7
Marcus Morris,PF,34,37,2.4,0.439,0.527,6.7
Ochai Agbaji,SG,23,27,2.7,0.391,0.432,6.7
Amir Coffey,SF,26,70,2.4,0.472,0.571,6.6
Aaron Holiday,PG,27,78,2.4,0.446,0.547,6.6
Dennis Smith Jr.,PG,26,56,2.6,0.435,0.482,6.6
Alec Burks,SG,32,23,2.2,0.307,0.383,6.5
Chimezie Metu,C,26,51,2.4,0.504,0.561,6.5
Jordan Goodwin,PG,25,57,2.5,0.369,0.424,6.5
David Roddy,PF,22,65,2.5,0.403,0.462,6.5
David Duke Jr.,SG,24,4,2.5,0.556,0.639,6.5
Jeff Green,PF,37,78,2.1,0.456,0.529,6.5
Isaiah Jackson,C,22,59,2.6,0.665,0.665,6.5
Marcus Morris,PF,34,49,2.4,0.439,0.53,6.4
Kyle Anderson,PF,30,79,2.5,0.46,0.472,6.4
Chris Boucher,PF,31,50,2.2,0.507,0.578,6.4
Jared Butler,SG,23,40,2.5,0.488,0.547,6.3
Bruno Fernando,C,25,45,2.4,0.583,0.583,6.3
Daniel Theis,C,31,60,2.6,0.532,0.577,6.3
Daniel Theis,C,31,59,2.6,0.536,0.581,6.3
Patrick Beverley,PG,35,47,2.2,0.432,0.504,6.3
Skylar Mays,PG,26,21,2.5,0.384,0.435,6.3
Cameron Payne,PG,29,47,2.1,0.455,0.572,6.2
Jaylen Nowell,SG,24,13,2.6,0.436,0.474,6.2
Patrick Beverley,PG,35,73,2.2,0.417,0.497,6.2
Jae Crowder,PF,33,50,2.3,0.422,0.53,6.2
Keon Johnson,SG,21,5,1.6,0.381,0.476,6.2
Haywood Highsmith,PF,27,66,2.3,0.465,0.581,6.1
Vit Krejci,PG,23,22,2.3,0.49,0.625,6.1
Kris Murray,SF,23,62,2.3,0.396,0.463,6.1
Ben Simmons,PG,27,15,2.9,0.581,0.581,6.1
Patrick Beverley,PG,35,26,2.1,0.391,0.486,6
Zavier Simpson,PG,26,7,2.4,0.315,0.361,6
Doug McDermott,SF,32,46,2.1,0.442,0.619,6
Xavier Tillman Sr.,C,25,34,2.6,0.408,0.437,6
Tosan Evbuomwan,SF,22,17,2.1,0.507,0.592,5.9
Justin Champagnie,SF,22,15,2.1,0.41,0.494,5.9
Nick Smith Jr.,SG,19,51,2.2,0.391,0.5,5.9
Marcus Morris,PF,34,12,2.2,0.441,0.542,5.8
Ochai Agbaji,SG,23,78,2.3,0.411,0.483,5.8
Noah Clowney,PF,19,23,2.2,0.538,0.602,5.8
Dyson Daniels,PG,20,61,2.3,0.447,0.514,5.8
Patty Mills,PG,35,13,2.1,0.338,0.406,5.8
Jaylen Nowell,SG,24,9,2.4,0.4,0.436,5.7
Danilo Gallinari,SF,35,49,1.7,0.437,0.516,5.7
Thomas Bryant,C,26,38,2.3,0.577,0.591,5.7
Torrey Craig,SF,33,53,2,0.43,0.55,5.7
Larry Nance Jr.,C,31,61,2.3,0.573,0.629,5.7
Pat Connaughton,SF,31,76,2,0.435,0.553,5.6
Craig Porter Jr.,PG,23,51,2.3,0.509,0.535,5.6
Mitchell Robinson,C,25,31,2.4,0.575,0.575,5.6
Malachi Flynn,PG,25,69,2,0.418,0.505,5.5
Doug McDermott,SF,32,64,1.9,0.433,0.599,5.5
Dexter Dennis,SG,24,4,2.5,0.526,0.553,5.5
Gary Payton II,SG,31,44,2.3,0.563,0.617,5.5
Neemias Queta,C,24,28,2.4,0.644,0.644,5.5
Nicolas Batum,PF,35,57,2,0.456,0.599,5.5
Alex Fudge,SF,20,2,2.5,0.556,0.611,5.5
Ochai Agbaji,SG,23,51,2.1,0.426,0.52,5.4
Ricky Council IV,SG,22,32,1.7,0.482,0.536,5.4
Kris Dunn,PG,29,66,2.2,0.47,0.535,5.4
Keon Ellis,SG,24,57,1.9,0.461,0.612,5.4
Cam Reddish,SF,24,48,1.9,0.389,0.468,5.4
Matt Ryan,SF,26,28,1.8,0.434,0.615,5.4
Matisse Thybulle,SF,26,65,1.9,0.397,0.524,5.4
Sasha Vezenkov,PF,28,42,2,0.44,0.558,5.4
Dean Wade,PF,27,54,1.8,0.414,0.584,5.4
Delon Wright,PG,31,14,1.9,0.394,0.477,5.4
Gordon Hayward,SF,33,26,1.8,0.453,0.524,5.3
Quentin Grimes,SG,23,6,1.5,0.214,0.262,5.3
Darius Bazley,PF,23,9,2,0.6,0.633,5.3
Xavier Tillman Sr.,PF,25,54,2.2,0.434,0.47,5.3
Nicolas Batum,PF,35,60,1.9,0.453,0.596,5.3
Luke Kornet,C,28,63,2.3,0.7,0.702,5.3
Davion Mitchell,PG,25,72,2,0.452,0.54,5.3
Mason Plumlee,C,33,46,1.9,0.569,0.569,5.3
Stanley Umude,SG,24,24,1.5,0.44,0.583,5.3
Jordan Nwora,SF,25,18,2.1,0.451,0.518,5.2
Aleksej Pokusevski,PF,22,28,1.8,0.405,0.479,5.2
Bol Bol,PF,24,43,2.2,0.616,0.689,5.2
Brandon Boston Jr.,SF,22,32,2,0.404,0.447,5.2
Jarred Vanderbilt,PF,24,29,2,0.518,0.553,5.2
Bismack Biyombo,C,31,30,2.2,0.563,0.563,5.2
Malachi Flynn,PG,25,31,1.8,0.409,0.511,5.1
Seth Curry,SG,33,44,1.8,0.392,0.485,5.1
Drew Eubanks,C,26,75,2,0.601,0.607,5.1
Bryce McGowens,SG,21,59,1.7,0.439,0.513,5.1
Monte Morris,PG,28,27,1.9,0.417,0.521,5.1
Chimezie Metu,C,26,37,1.8,0.508,0.565,5
Jordan Goodwin,PG,25,40,1.9,0.389,0.448,5
Richaun Holmes,C,30,40,2.1,0.558,0.561,5
Monte Morris,PG,28,33,1.9,0.405,0.493,5
Goga Bitadze,C,24,62,2,0.603,0.608,5
Jevon Carter,PG,28,72,1.9,0.378,0.484,5
Devonte' Graham,PG,28,23,1.7,0.352,0.468,5
Isaiah Livers,PF,25,23,1.7,0.345,0.44,5
Kobi Simmons,PG,26,4,2.3,0.429,0.476,5
D.J. Wilson,PF,27,2,2,0.667,0.833,5
Jalen Wilson,PF,23,43,1.8,0.425,0.492,5
Thaddeus Young,PF,35,23,2.3,0.621,0.626,5
KJ Martin,SF,23,2,2,0.4,0.45,5
Jock Landale,C,28,56,1.9,0.515,0.539,4.9
Garrison Mathews,SG,27,66,1.6,0.456,0.644,4.9
Jared Rhoden,SG,24,17,1.9,0.5,0.591,4.9
Kobe Bufkin,SG,20,17,2,0.37,0.418,4.8
DeJon Jarreau,SG,26,9,1.9,0.34,0.38,4.8
Eugene Omoruyi,SF,26,43,1.9,0.485,0.524,4.8
