Manufacturer,Make,Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CHEVROLET,Silverado,CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NGMXT05.3386,pickup,6,15,19,17,3,No,526
TOYOTA,Camry XSE,TOYOTA Camry XSE,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXV03.5M5B,midsize car,5,22,32,26,5,No,345
JEEP,Wrangler,JEEP Wrangler,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXT02.05P2,small SUV,5,21,24,22,5,No,404
CHEVROLET,Suburban,CHEVROLET Suburban,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT06.2375,standard SUV,6,14,19,16,3,No,555
CHEVROLET,Silverado,CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT05.3386,pickup,6,16,21,18,3,No,502
JEEP,Grand Cherokee L,JEEP Grand Cherokee L,3.6,6,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NCRXT03.65P5,standard SUV,7,19,26,21,4,No,416
CHEVROLET,Silverado,CHEVROLET Silverado,3,6,Auto-10,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,NGMXT03.0352,pickup,3,23,31,26,5,No,387
CHEVROLET,Colorado,CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT02.5200,pickup,6,19,25,22,5,No,413
JEEP,Renegade Trailhawk,JEEP Renegade Trailhawk,1.3,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NCRXT01.35P0,small SUV,6,22,27,24,5,No,372
TOYOTA,Supra 3.0,TOYOTA Supra 3.0,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NBMXV03.0B5X,small car,5,22,30,25,5,No,351
CHEVROLET,Malibu,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NGMXV01.5010,midsize car,7,29,36,32,7,Yes,275
CHEVROLET,Spark,CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NGMXV01.4050,small car,5,30,38,33,7,No,266
CHEVROLET,Malibu,CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NGMXV01.5010,midsize car,7,29,36,32,7,Yes,275
CHEVROLET,Colorado,CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NGMXT03.6162,pickup,6,17,24,19,4,No,465
TOYOTA,Sequoia,TOYOTA Sequoia,5.7,8,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXT05.7M5W,standard SUV,5,13,17,15,2,No,604
LEXUS,LC 500h,LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV03.5P35,small car,7,26,34,29,6,No,303
CHEVROLET,Tahoe,CHEVROLET Tahoe,3,6,Auto-10,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,NGMXT03.0353,standard SUV,3,21,28,24,4,No,425
CHEVROLET,Colorado,CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,NGMXT02.8358,pickup,3,19,28,22,4,No,455
LEXUS,LS 500,LEXUS LS 500,3.4,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NTYXV03.5M5C,midsize car,5,18,29,22,5,No,404
ALFA,ROMEO Stelvio AWD,ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
JEEP,Gladiator EcoDiesel 4X4,JEEP Gladiator EcoDiesel 4X4,3,6,Auto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,NCRXT03.05PW,pickup,1,22,28,24,4,No,423
CHEVROLET,Silverado 4WD Mud Terrain Tire,CHEVROLET Silverado 4WD Mud Terrain Tire,2.7,4,Auto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT02.7100,pickup,6,16,18,17,3,No,522
LEXUS,UX 250h,LEXUS UX 250h,2,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.0P3B,small car,7,41,38,39,8,Yes,225
TOYOTA,Corolla,TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NTYXV01.8M5B,small car,5,29,39,33,7,No,271
CHEVROLET,Traverse,CHEVROLET Traverse,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NGMXT03.6151,standard SUV,6,17,25,20,4,No,448
TOYOTA,Camry Hybrid SE/XLE/XSE,TOYOTA Camry Hybrid SE/XLE/XSE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.5P33,midsize car,7,44,47,46,9,Yes,195
