Model,Cmb MPG,Displ,Cyl,Air Pollution Score,Comb CO2
MASERATI Quattroporte Modena,19,3,6,3,472
BENTLEY Flying Spur,17,4,8,3,520
TOYOTA Sienna,35,2.5,4,7,253
GMC Sierra 4WD Mud Terrain Tires,16,6.2,8,6,566
PORSCHE 911 GT3 Touring,16,4,6,3,570
LINCOLN Nautilus,22,2,4,6,404
CHEVROLET Silverado,15,5.3,8,6,583
BUICK Enclave,21,3.6,6,6,424
NISSAN Rogue Sport,28,2,4,6,318
