date,ticker,adjusted
2024-09-03,AACAY,4.090000152587891
2024-09-04,AACAY,4.0
2024-09-05,AACAY,4.0
2024-09-06,AACAY,3.9100000858306885
2024-09-09,AACAY,3.859999895095825
2024-09-10,AACAY,3.690000057220459
2024-09-11,AACAY,3.7100000381469727
2024-09-12,AACAY,3.640000104904175
2024-09-13,AACAY,3.740000009536743
2024-09-16,AACAY,3.5799999237060547
2024-09-17,AACAY,3.549999952316284
2024-09-18,AACAY,3.569999933242798
2024-09-19,AACAY,3.7100000381469727
2024-09-20,AACAY,3.5899999141693115
2024-09-23,AACAY,3.7699999809265137
2024-09-24,AACAY,3.880000114440918
2024-09-25,AACAY,3.799999952316284
2024-09-26,AACAY,3.930000066757202
2024-09-27,AACAY,4.010000228881836
2024-09-03,AAL,10.600000381469727
2024-09-04,AAL,10.630000114440918
2024-09-05,AAL,10.800000190734863
2024-09-06,AAL,10.800000190734863
2024-09-09,AAL,11.220000267028809
2024-09-10,AAL,10.989999771118164
2024-09-11,AAL,10.770000457763672
2024-09-12,AAL,10.880000114440918
2024-09-13,AAL,10.6899995803833
2024-09-16,AAL,10.8100004196167
2024-09-17,AAL,11.170000076293945
2024-09-18,AAL,11.029999732971191
2024-09-19,AAL,11.109999656677246
2024-09-20,AAL,11.010000228881836
2024-09-23,AAL,10.979999542236328
2024-09-24,AAL,11.039999961853027
2024-09-25,AAL,11.0
2024-09-26,AAL,11.789999961853027
2024-09-27,AAL,11.5600004196167
2024-09-03,AAON,89.2083511352539
2024-09-04,AAON,88.83869171142578
2024-09-05,AAON,87.40999603271484
2024-09-06,AAON,87.4000015258789
2024-09-09,AAON,88.58999633789062
2024-09-10,AAON,88.26000213623047
2024-09-11,AAON,91.73999786376953
2024-09-12,AAON,93.47000122070312
2024-09-13,AAON,94.12000274658203
2024-09-16,AAON,96.16000366210938
2024-09-17,AAON,96.18000030517578
2024-09-18,AAON,96.93000030517578
2024-09-19,AAON,102.44999694824219
2024-09-20,AAON,104.05000305175781
2024-09-23,AAON,107.81999969482422
2024-09-24,AAON,107.38999938964844
2024-09-25,AAON,107.30000305175781
2024-09-26,AAON,107.0199966430664
2024-09-27,AAON,107.08999633789062
2024-09-03,AAPL,222.77000427246094
2024-09-04,AAPL,220.85000610351562
2024-09-05,AAPL,222.3800048828125
2024-09-06,AAPL,220.82000732421875
2024-09-09,AAPL,220.91000366210938
2024-09-10,AAPL,220.11000061035156
2024-09-11,AAPL,222.66000366210938
2024-09-12,AAPL,222.77000427246094
2024-09-13,AAPL,222.5
2024-09-16,AAPL,216.32000732421875
2024-09-17,AAPL,216.7899932861328
2024-09-18,AAPL,220.69000244140625
2024-09-19,AAPL,228.8699951171875
2024-09-20,AAPL,228.1999969482422
2024-09-23,AAPL,226.47000122070312
2024-09-24,AAPL,227.3699951171875
2024-09-25,AAPL,226.3699951171875
2024-09-26,AAPL,227.52000427246094
