Player,Pos,Age,G,FG,FG%,eFG%,PTS
Jayson Tatum,PF,27,13,7.4,0.409,0.494,21.4
Julius Randle,PF,31,77,7.4,0.48,0.525,21.1
Zion Williamson,PF,25,61,7.9,0.602,0.602,21.1
Franz Wagner,SF,24,30,7.3,0.481,0.528,20.9
Cooper Flagg,SF,19,65,7.9,0.472,0.502,20.8
Nickeil Alexander-Walker,SG,27,75,6.9,0.454,0.557,20.6
LeBron James,SF,41,56,7.8,0.511,0.553,20.6
Alperen Şengün,C,23,68,8.1,0.522,0.54,20.6
Dillon Brooks,SF,30,52,7.5,0.438,0.505,20.5
Darius Garland,PG,26,15,7.5,0.487,0.609,20.5
Desmond Bane,SG,27,77,7.2,0.485,0.554,20.4
Anthony Davis,PF,32,20,8.5,0.506,0.521,20.4
Brandon Miller,SF,23,61,7,0.437,0.537,20.4
James Harden,PG,36,23,6.3,0.482,0.597,20.2
Bam Adebayo,C,28,69,6.9,0.439,0.494,20.2
Karl-Anthony Towns,C,30,72,6.9,0.496,0.551,20.1
Jimmy Butler,SF,36,38,6.3,0.519,0.554,20
Ty Jerome,SG,28,15,6.8,0.474,0.572,19.7
LaMelo Ball,PG,24,68,6.9,0.403,0.51,19.5
Jalen Duren,C,22,67,7.4,0.645,0.645,19.5
Ja Morant,PG,26,20,6.6,0.41,0.441,19.5
Jaren Jackson Jr.,C,26,48,7.1,0.476,0.534,19.4
Bennedict Mathurin,SF,23,21,5.9,0.439,0.464,19.4
Trae Young,PG,27,10,5.6,0.415,0.481,19.3
Jaren Jackson Jr.,C,26,45,7.1,0.475,0.534,19.2
RJ Barrett,SF,25,53,7,0.495,0.556,19.2
Zach LaVine,SG,30,39,6.7,0.479,0.569,19.2
Darius Garland,PG,26,41,6.9,0.465,0.559,18.9
Kon Knueppel,SF,20,77,6.5,0.483,0.612,18.8
CJ McCollum,SG,34,35,6.9,0.454,0.544,18.8
CJ McCollum,PG,34,73,6.9,0.454,0.537,18.7
CJ McCollum,PG,34,38,6.9,0.455,0.53,18.6
DeMar DeRozan,PF,36,76,6.5,0.495,0.518,18.6
Jerami Grant,PF,31,57,5.8,0.453,0.547,18.6
Coby White,SG,25,29,5.9,0.438,0.529,18.6
Bennedict Mathurin,SF,23,49,5.7,0.436,0.492,18.5
De'Aaron Fox,PG,28,68,7,0.488,0.549,18.5
Scottie Barnes,PF,24,75,7.1,0.504,0.534,18.2
Jalen Green,SG,23,29,6.9,0.421,0.494,18.2
Evan Mobley,PF,24,62,7.2,0.544,0.582,18.1
Darius Garland,PG,26,26,6.5,0.451,0.529,18
Trae Young,PG,27,15,5.4,0.458,0.534,17.9
Amen Thompson,PG,23,75,6.9,0.525,0.538,17.9
Bennedict Mathurin,SF,23,28,5.5,0.433,0.514,17.8
Paul George,PF,35,33,6.2,0.442,0.541,17.8
Coby White,SG,25,47,5.6,0.444,0.534,17.5
Saddiq Bey,SF,26,71,6,0.452,0.53,17.5
Kristaps Porziņģis,C,30,12,5.6,0.45,0.523,17.5
Kevin Porter Jr.,PG,25,38,6.3,0.465,0.51,17.4
Kristaps Porziņģis,C,30,29,5.6,0.454,0.528,17.3
Collin Sexton,SG,27,21,5.9,0.494,0.592,17.3
Miles Bridges,PF,27,73,6.3,0.455,0.526,17.2
Kristaps Porziņģis,C,30,17,5.6,0.457,0.531,17.1
Grayson Allen,SG,30,48,5.5,0.405,0.525,17.1
Ryan Rollins,PG,23,72,6.5,0.47,0.56,17.1
Jalen Williams,SG,24,31,6.6,0.48,0.506,17.1
Josh Giddey,PG,23,54,5.9,0.448,0.52,17
Payton Pritchard,PG,28,75,6.4,0.461,0.557,17
OG Anunoby,PF,28,64,5.9,0.486,0.582,16.9
Chet Holmgren,PF,23,66,6.2,0.55,0.604,16.9
Andrew Nembhard,PG,26,57,5.8,0.442,0.513,16.9
Immanuel Quickley,PG,26,67,5.9,0.445,0.543,16.9
Nikola Vučević,C,35,48,6.9,0.505,0.567,16.9
Derrick White,SG,31,73,5.8,0.394,0.487,16.8
Stephon Castle,PG,21,66,5.7,0.474,0.523,16.7
Dejounte Murray,PG,29,14,6.3,0.484,0.536,16.7
Matas Buzelis,PF,21,76,5.8,0.465,0.557,16.3
Aaron Gordon,PF,30,34,5.5,0.497,0.573,16.3
Jrue Holiday,PG,35,49,6.1,0.458,0.557,16.3
Alex Sarr,C,20,48,6.6,0.482,0.52,16.3
VJ Edgecombe,SG,20,71,6,0.439,0.512,16.1
Domantas Sabonis,C,29,19,6.3,0.543,0.554,15.8
Coby White,SG,25,18,5.1,0.455,0.542,15.6
Nikola Vučević,C,35,60,6.4,0.496,0.558,15.6
Jabari Smith Jr.,PF,22,73,5.6,0.448,0.538,15.6
Andrew Wiggins,SF,30,64,5.9,0.478,0.561,15.6
Cam Thomas,SG,24,24,5.1,0.399,0.461,15.6
Jarrett Allen,C,27,54,6.1,0.641,0.642,15.4
Naji Marshall,SF,28,72,5.7,0.512,0.551,15.4
Onyeka Okongwu,C,25,71,5.6,0.482,0.567,15.4
Anthony Black,PG,22,60,5.5,0.451,0.516,15.3
Trae Young,PG,27,5,5,0.595,0.702,15.2
Collin Sexton,SG,27,63,5.2,0.49,0.57,15.2
Jaime Jaquez Jr.,SF,24,71,6.1,0.501,0.53,15.2
Russell Westbrook,SF,37,64,5.6,0.427,0.503,15.2
Anfernee Simons,SG,26,6,5.8,0.438,0.538,15.2
Ayo Dosunmu,SG,26,45,5.6,0.514,0.604,15
Kyshawn George,SF,22,48,5.3,0.438,0.524,14.8
Jaden McDaniels,PF,25,71,5.6,0.518,0.584,14.8
Ayo Dosunmu,SG,26,66,5.5,0.515,0.6,14.7
Mikal Bridges,SF,29,78,5.8,0.487,0.568,14.7
Brice Sensabaugh,SF,22,72,5.2,0.46,0.553,14.6
Peyton Watson,SF,23,54,5.3,0.491,0.56,14.6
Walker Kessler,C,24,5,5.2,0.703,0.784,14.4
Ivica Zubac,C,28,43,6.1,0.613,0.613,14.4
Anfernee Simons,SG,26,55,5.2,0.44,0.552,14.3
Kelly Oubre Jr.,SF,30,46,5.1,0.465,0.548,14.3
Collin Sexton,SG,27,42,4.8,0.488,0.557,14.2
Anfernee Simons,SG,26,49,5.1,0.44,0.555,14.2
Ivica Zubac,C,28,48,6,0.598,0.598,14.1
P.J. Washington,PF,27,55,5.3,0.448,0.504,14.1
Ayo Dosunmu,SG,26,21,5.5,0.516,0.591,14
Santi Aldama,PF,25,43,5.3,0.479,0.553,14
Scoot Henderson,PG,21,26,4.7,0.417,0.498,14
Keegan Murray,PF,25,23,5.5,0.42,0.472,14
Devin Vassell,SG,25,63,5,0.438,0.549,14
De'Andre Hunter,SF,28,43,4.7,0.423,0.499,14
Ajay Mitchell,SG,23,54,5.1,0.489,0.542,13.9
Aaron Nesmith,SF,26,45,4.7,0.414,0.517,13.8
Max Strus,SF,29,8,4.8,0.535,0.739,13.8
Jalen Suggs,PG,24,52,5,0.44,0.527,13.8
De'Andre Hunter,SF,28,45,4.6,0.415,0.49,13.7
Bobby Portis,PF,30,67,5.5,0.488,0.578,13.7
Ace Bailey,SF,19,69,5.4,0.444,0.522,13.6
John Collins,PF,28,64,5.3,0.56,0.629,13.6
Zach Edey,C,23,11,5.6,0.633,0.638,13.6
Tim Hardaway Jr.,SG,33,77,4.4,0.451,0.595,13.6
Naz Reid,C,26,74,5.1,0.456,0.55,13.6
Reed Sheppard,SG,21,77,5,0.43,0.551,13.6
Cam Thomas,SG,24,42,4.5,0.41,0.466,13.5
Quentin Grimes,SG,25,71,4.5,0.452,0.537,13.5
Brandin Podziemski,SG,22,77,4.7,0.451,0.539,13.5
Cedric Coward,SG,22,60,4.8,0.464,0.534,13.4
Tre Jones,PG,26,60,5,0.552,0.586,13.4
Jeremiah Fears,PG,19,78,5,0.432,0.484,13.3
Toumani Camara,PF,25,78,4.7,0.439,0.56,13.2
Tobias Harris,PF,33,60,4.9,0.464,0.523,13.2
Kyle Kuzma,PF,30,67,5,0.49,0.55,13.2
Jaylon Tyson,SG,23,64,5,0.496,0.598,13.1
Jaden Hardy,SG,23,21,4.8,0.452,0.577,13.1
Collin Gillespie,PG,26,76,4.5,0.422,0.562,13
Keldon Johnson,SF,26,78,5,0.525,0.589,13
Brandon Williams,PG,26,65,4.4,0.47,0.5,13
Kennedy Chandler,PG,23,8,4.6,0.389,0.432,12.9
Jordan Poole,PG,26,37,4.1,0.365,0.471,12.9
Dennis Schröder,PG,32,40,4.3,0.408,0.475,12.8
Sam Merrill,SG,29,50,4.3,0.46,0.624,12.7
Malik Monk,SG,27,59,4.5,0.434,0.531,12.7
GG Jackson II,PF,21,54,4.7,0.499,0.561,12.5
De'Anthony Melton,PG,27,44,4.5,0.404,0.468,12.5
Jaylen Wells,SG,22,69,4.4,0.431,0.524,12.5
Deandre Ayton,C,27,67,5.6,0.674,0.674,12.4
Noah Clowney,PF,21,66,3.8,0.396,0.498,12.3
Donte DiVincenzo,SG,29,77,4.2,0.408,0.554,12.3
Max Christie,SG,22,72,4.2,0.443,0.567,12.2
Tre Johnson,SG,19,60,4.5,0.419,0.508,12.2
Josh Hart,SF,30,63,4.6,0.507,0.59,12.1
Miles McBride,SG,25,38,4.2,0.423,0.562,12.1
Moses Moody,SG,23,60,4.1,0.44,0.575,12.1
Maxime Raynaud,C,22,70,5.1,0.57,0.585,12.1
Jonathan Kuminga,PF,23,20,4.4,0.454,0.497,12.1
Christian Braun,SG,24,42,4.5,0.513,0.571,12
Wendell Carter Jr.,C,26,73,4.3,0.512,0.571,12
Donovan Clingan,C,21,73,4.6,0.52,0.578,12
Cameron Johnson,SF,29,52,4.1,0.471,0.589,12
Duncan Robinson,SF,31,74,4.1,0.448,0.607,12
Jonathan Kuminga,PF,23,33,4.2,0.465,0.52,11.9
Dyson Daniels,SG,22,73,5.3,0.519,0.533,11.8
Klay Thompson,SF,35,66,4.2,0.395,0.535,11.8
Myles Turner,C,29,69,3.9,0.437,0.554,11.8
Jonathan Kuminga,PF,23,13,4,0.486,0.561,11.7
Nic Claxton,C,26,69,4.8,0.571,0.574,11.7
Isaiah Collier,PG,21,59,4.3,0.495,0.521,11.7
Dylan Harper,SG,19,65,4.8,0.506,0.552,11.7
Ivica Zubac,C,28,5,5,0.472,0.472,11.6
Mark Williams,C,24,57,4.7,0.637,0.638,11.6
Jarace Walker,PF,22,73,4,0.421,0.513,11.5
Jaden Ivey,SG,23,4,3.8,0.417,0.528,11.5
Bilal Coulibaly,SG,21,54,4,0.416,0.475,11.4
Scotty Pippen Jr.,PG,25,10,4.3,0.448,0.5,11.4
Derik Queen,C,21,77,4.2,0.472,0.488,11.4
Julian Champagnie,SF,24,78,3.7,0.437,0.582,11.3
Kyle Filipowski,C,22,75,4.1,0.498,0.556,11.3
Pelle Larsson,SG,24,67,3.9,0.5,0.555,11.3
Jock Landale,C,30,45,4.4,0.514,0.577,11.3
Sandro Mamukelashvili,C,26,75,4.2,0.523,0.612,11.2
Rui Hachimura,PF,27,63,4.3,0.506,0.602,11.1
Cam Spencer,SG,25,71,3.7,0.472,0.603,11.1
Kel'el Ware,C,21,73,4.5,0.529,0.597,11.1
Rudy Gobert,C,33,74,4.4,0.686,0.686,11
Alondes Williams,SG,26,4,4,0.615,0.712,11
Jusuf Nurkić,C,31,41,4.4,0.503,0.538,10.9
Kevin Huerter,SF,27,44,4.2,0.455,0.542,10.9
Dennis Schröder,PG,32,66,3.7,0.402,0.463,10.8
Tyler Burton,SF,25,12,3.5,0.375,0.473,10.8
Isaiah Joe,SG,26,68,3.4,0.446,0.609,10.8
Caleb Love,SG,24,47,4,0.389,0.484,10.8
Jakob Poeltl,C,30,41,4.7,0.696,0.696,10.8
Cam Thomas,SG,24,18,3.7,0.431,0.477,10.7
Jared McCain,SG,21,25,3.9,0.462,0.574,10.7
Jock Landale,C,30,68,4.1,0.515,0.582,10.6
Blake Hinson,SF,26,11,3.6,0.519,0.708,10.6
Marvin Bagley III,PF,26,18,4.4,0.598,0.64,10.6
Ousmane Dieng,C,22,25,4.2,0.428,0.51,10.6
Tari Eason,PF,24,55,4,0.416,0.499,10.5
Khris Middleton,SF,34,24,3.6,0.402,0.467,10.5
Josh Minott,SF,23,15,3.4,0.486,0.624,10.5
Nikola Vučević,C,35,12,4.1,0.445,0.505,10.4
Khris Middleton,SF,34,58,3.7,0.42,0.48,10.4
Derrick Jones Jr.,SF,28,45,3.9,0.504,0.576,10.4
Daeqwon Plowden,SG,27,28,3.6,0.429,0.538,10.4
Leonard Miller,SF,22,22,4.1,0.542,0.61,10.4
Guerschon Yabusele,C,30,23,3.3,0.41,0.533,10.4
Khris Middleton,SF,34,34,3.8,0.433,0.488,10.3
Marvin Bagley III,PF,26,56,4.2,0.616,0.642,10.3
Egor Dёmin,PG,19,52,3.4,0.399,0.537,10.3
DaQuan Jeffries,SG,28,3,3.7,0.579,0.684,10.3
Taylor Hendricks,PF,22,24,4,0.447,0.526,10.3
Bub Carrington,PG,20,77,3.6,0.414,0.527,10.2
D'Angelo Russell,PG,29,26,3.6,0.405,0.476,10.2
Jalen Smith,C,25,53,3.7,0.483,0.584,10.2
Ziaire Williams,SF,24,56,3.3,0.425,0.524,10.2
Marvin Bagley III,PF,26,38,4.1,0.626,0.642,10.1
Tristan Da Silva,SF,24,72,3.7,0.45,0.549,10.1
Neemias Queta,C,26,72,4.2,0.643,0.643,10.1
Harrison Barnes,PF,33,73,3.4,0.453,0.576,10
Julian Reese,PF,22,8,4,0.561,0.561,10
Will Riley,SF,19,69,3.5,0.453,0.519,10
Isaiah Stewart,C,24,55,3.8,0.541,0.592,10
Obi Toppin,PF,27,19,3.7,0.5,0.588,10
Kevin Huerter,SF,27,66,3.9,0.45,0.532,9.9
Precious Achiuwa,C,26,69,4.3,0.538,0.563,9.9
Royce O'Neale,SF,32,74,3.4,0.419,0.588,9.9
Ausar Thompson,SF,23,69,4.2,0.518,0.523,9.9
A.J. Green,SG,26,73,3.2,0.418,0.602,9.8
Zach Collins,C,28,10,3.7,0.578,0.648,9.7
Jordan Miller,SF,26,55,3.5,0.522,0.564,9.7
Olivier-Maxence Prosper,PF,23,51,3.5,0.54,0.623,9.7
Zaccharie Risacher,SF,20,64,3.7,0.458,0.549,9.7
Aaron Wiggins,SG,27,60,3.7,0.434,0.524,9.7
Daniel Gafford,C,27,54,3.8,0.657,0.657,9.6
Landry Shamet,SG,28,48,3.2,0.442,0.584,9.6
Rayan Rupert,SG,21,13,3.5,0.43,0.509,9.6
Jay Huff,C,27,77,3.5,0.471,0.57,9.5
Javon Small,PG,23,40,3.2,0.472,0.58,9.5
Marcus Smart,SG,31,60,3.1,0.399,0.502,9.5
Isaiah Hartenstein,C,27,44,4,0.618,0.618,9.4
Daniss Jenkins,PG,24,68,3.3,0.415,0.481,9.4
T.J. McConnell,PG,33,56,4.3,0.538,0.556,9.4
Nick Richards,C,28,20,3.4,0.523,0.542,9.4
Jaden Hardy,SG,23,55,3.2,0.429,0.551,9.3
Cormac Ryan,SG,27,6,2.8,0.472,0.611,9.3
Kyle Anderson,SF,32,4,3.8,0.789,0.816,9.3
Kobe Brown,PF,26,23,3.5,0.516,0.616,9.3
Davion Mitchell,PG,27,67,3.7,0.483,0.569,9.2
Svi Mykhailiuk,SF,28,49,3.4,0.483,0.617,9.2
Isaac Okoro,SG,25,61,3.3,0.457,0.538,9.2
Gui Santos,PF,23,65,3.4,0.51,0.598,9.2
Cam Whitmore,SF,21,21,3.7,0.456,0.503,9.2
Corey Kispert,SF,26,19,3.1,0.496,0.622,9.2
Jock Landale,C,30,23,3.6,0.516,0.594,9.1
Corey Kispert,SF,26,55,3.2,0.464,0.57,9.1
Corey Kispert,SF,26,36,3.2,0.45,0.547,9.1
Sam Hauser,PF,28,74,3.2,0.418,0.582,9.1
Micah Potter,C,27,42,2.9,0.513,0.638,9
Tristan Vukcevic,C,22,49,3.1,0.479,0.558,9
Vít Krejčí,PG,25,46,3.1,0.464,0.628,9
Herbert Jones,SF,27,55,3.3,0.382,0.465,8.9
Danny Wolf,PF,21,57,3.1,0.405,0.482,8.9
Walter Clayton,PG,22,21,2.9,0.345,0.411,8.9
Jordan Clarkson,SG,33,68,3.3,0.45,0.52,8.8
Day'Ron Sharpe,C,24,62,3.5,0.601,0.614,8.7
Vít Krejčí,PG,25,64,3,0.448,0.599,8.6
Justin Champagnie,SF,24,66,3.3,0.514,0.57,8.6
Jordan Goodwin,PG,27,67,3.2,0.405,0.502,8.6
Draymond Green,PF,35,64,3.1,0.417,0.52,8.6
Nolan Traoré,PG,19,53,3.2,0.378,0.438,8.6
Cason Wallace,SG,22,74,3.3,0.433,0.517,8.6
Jaden Ivey,SG,23,37,3.1,0.445,0.543,8.5
Quenton Jackson,PG,27,44,2.9,0.485,0.556,8.5
Cody Williams,SG,21,63,3.4,0.48,0.509,8.5
Kentavious Caldwell-Pope,SG,32,51,2.9,0.41,0.485,8.4
Luguentz Dort,SF,26,64,2.9,0.381,0.5,8.4
Collin Murray-Boyles,PF,20,53,3.5,0.572,0.598,8.4
Luke Kennard,SG,29,27,3.1,0.548,0.674,8.4
Rob Dillingham,PG,21,25,3.4,0.411,0.462,8.4
Jared McCain,SG,21,62,3,0.422,0.526,8.3
Simone Fontecchio,SF,30,69,2.7,0.403,0.53,8.3
Al Horford,C,39,43,3.1,0.424,0.539,8.3
Jake LaRavia,PF,24,77,3,0.462,0.535,8.3
Kadary Richmond,SG,24,3,3.3,0.625,0.688,8.3
Jaden Ivey,SG,23,33,3,0.45,0.545,8.2
Bradley Beal,SG,32,6,3,0.375,0.448,8.2
LJ Cryer,PG,24,17,2.6,0.396,0.554,8.2
Bones Hyland,PG,25,68,2.9,0.452,0.57,8.2
Brook Lopez,C,37,70,3,0.423,0.527,8.2
Gary Trent Jr.,SG,27,64,2.8,0.39,0.524,8.2
Jonas Valančiūnas,C,33,61,3.2,0.571,0.579,8.2
Luke Kennard,SG,29,73,2.9,0.542,0.685,8.1
Devin Carter,PG,23,34,2.8,0.398,0.448,8.1
Ron Holland,SF,20,74,3,0.431,0.472,8.1
Bryce McGowens,SG,23,42,2.7,0.481,0.561,8.1
Keon Ellis,SG,26,25,2.9,0.49,0.595,8.1
Kevin Huerter,SG,27,22,3.2,0.436,0.506,8
Nique Clifford,SG,23,71,3.1,0.412,0.479,8
Moussa Diabaté,C,24,69,3.2,0.63,0.632,8
DeJon Jarreau,SG,28,11,3,0.398,0.422,8
Dariq Whitehead,SF,21,1,3,0.3,0.35,8
Vince Williams Jr.,PG,25,34,2.7,0.352,0.445,8
Buddy Hield,SG,33,44,3,0.433,0.545,8
Dennis Schröder,PG,32,26,2.7,0.39,0.435,7.9
Luke Kennard,SG,29,46,2.8,0.538,0.692,7.9
Dominick Barlow,PF,22,67,3.1,0.544,0.572,7.9
Jose Alvarado,PG,27,41,2.9,0.418,0.543,7.9
Bruce Brown,SG,29,78,3,0.47,0.525,7.8
Chaney Johnson,SF,23,14,2.9,0.556,0.604,7.8
Luka Garza,C,27,67,2.8,0.583,0.663,7.7
Ryan Kalkbrenner,C,24,65,3.2,0.746,0.746,7.7
Quinten Post,PF,25,67,2.9,0.44,0.546,7.7
Sharife Cooper,PG,24,36,2.9,0.486,0.54,7.6
De'Andre Hunter,SF,28,2,2,0.211,0.263,7.5
Walter Clayton,PG,22,66,2.5,0.377,0.455,7.5
Vince Williams Jr.,SG,25,40,2.6,0.353,0.447,7.5
Taurean Prince,SF,31,21,2.7,0.435,0.58,7.5
Paul Reed,C,26,61,3.1,0.601,0.62,7.5
Isaiah Jackson,C,24,17,3.2,0.764,0.764,7.5
Vít Krejčí,PG,25,18,2.7,0.407,0.521,7.4
Kris Dunn,PG,31,77,2.8,0.478,0.561,7.4
Caris LeVert,SG,31,57,2.8,0.419,0.496,7.4
Cameron Payne,PG,31,22,2.5,0.376,0.483,7.4
Jaylin Williams,PF,23,62,2.3,0.423,0.561,7.4
Josh Minott,PF,23,48,2.5,0.498,0.629,7.3
Leaky Black,SF,26,10,2.7,0.435,0.532,7.3
Bogdan Bogdanović,SG,33,21,2.5,0.376,0.475,7.3
Jaxson Hayes,C,25,65,2.9,0.754,0.76,7.3
Nikola Jović,PF,22,47,2.4,0.366,0.438,7.3
Gary Payton II,SG,33,68,3.3,0.574,0.622,7.3
Malachi Smith,SG,26,10,2.9,0.527,0.636,7.3
Jevon Carter,PG,30,25,2.8,0.383,0.494,7.3
Tyrese Martin,SG,26,37,2.7,0.392,0.492,7.3
Taylor Hendricks,PF,22,57,2.7,0.449,0.534,7.2
Buddy Hield,SG,33,50,2.6,0.424,0.532,7.2
Jose Alvarado,PG,27,67,2.6,0.415,0.527,7.2
Terance Mann,SG,29,63,2.7,0.457,0.533,7.2
Ja'Kobe Walter,SG,21,67,2.4,0.438,0.565,7.2
Nate Williams,SG,26,12,2.8,0.485,0.551,7.2
MarJon Beauchamp,SF,25,13,2.5,0.432,0.541,7.1
Ben Sheppard,SG,24,65,2.6,0.434,0.543,7.1
Pat Spencer,PG,29,61,2.8,0.433,0.5,7.1
Moritz Wagner,C,28,34,2.4,0.426,0.484,7.1
Kyle Anderson,SF,32,20,2.9,0.523,0.537,7.1
Ousmane Dieng,C,22,52,2.7,0.425,0.512,7
Lawson Lovering,C,22,2,3,0.6,0.6,7
Grant Williams,PF,27,32,2.2,0.423,0.561,7
Jaden Hardy,SG,23,34,2.3,0.402,0.521,6.9
Kobe Sanders,SG,23,63,2.5,0.46,0.56,6.9
Walter Clayton,PG,22,45,2.3,0.398,0.484,6.8
Javonte Green,SG,32,78,2.2,0.443,0.553,6.8
Elijah Harkless,SG,25,26,2.1,0.335,0.401,6.8
Leonard Miller,SF,22,41,2.7,0.542,0.602,6.7
Isaiah Jackson,C,24,55,2.7,0.637,0.637,6.7
Cole Anthony,PG,25,35,2.8,0.424,0.472,6.7
Kevin Love,PF,37,37,2.1,0.397,0.53,6.7
Will Richard,SG,23,66,2.5,0.474,0.577,6.7
Jamal Shead,PG,23,77,2.3,0.368,0.451,6.7
Robert Williams,C,28,55,3,0.716,0.731,6.7
Jared McCain,SG,21,37,2.4,0.385,0.483,6.6
Ben Saraf,SG,19,40,2.4,0.382,0.414,6.6
Trendon Watford,PF,25,52,2.6,0.513,0.532,6.6
Jamir Watkins,SG,24,45,2.4,0.452,0.529,6.6
Patrick Williams,PF,24,67,2.4,0.371,0.469,6.6
Keon Ellis,SG,26,68,2.3,0.435,0.553,6.5
Seth Curry,SG,35,6,2.5,0.577,0.692,6.5
Oso Ighodaro,PF,23,77,2.9,0.651,0.651,6.5
Luke Kornet,C,30,65,2.5,0.64,0.64,6.5
Julian Strawther,SG,23,53,2.3,0.456,0.542,6.5
Oscar Tshiebwe,C,26,23,2.8,0.631,0.631,6.5
Isaiah Jackson,C,24,38,2.5,0.582,0.582,6.4
Jevon Carter,PG,30,48,2.3,0.389,0.516,6.4
Tyrese Martin,SG,26,45,2.4,0.394,0.489,6.4
Kenrich Williams,PF,31,51,2.4,0.492,0.581,6.4
Ochai Agbaji,SG,25,19,2.4,0.455,0.556,6.4
Adama-Alpha Bal,,22,4,2.3,0.36,0.46,6.3
Alex Caruso,SG,31,53,2.3,0.421,0.507,6.3
Andre Drummond,C,32,59,2.5,0.469,0.518,6.3
Drake Powell,SG,20,59,2.2,0.416,0.494,6.3
Mac McClung,SG,27,3,2.3,0.389,0.444,6.3
Gradey Dick,SG,22,71,2.2,0.417,0.491,6.2
Kasparas Jakučionis,PG,19,49,1.9,0.424,0.56,6.2
Ryan Nembhard,PG,22,56,2.5,0.409,0.475,6.2
Tidjane Salaün,PF,20,36,2.2,0.506,0.62,6.2
Jose Alvarado,PG,27,26,2.3,0.408,0.497,6.1
PJ Hall,C,23,12,2.1,0.5,0.52,6.1
Kyle Anderson,SF,32,39,2.4,0.525,0.537,6
Thomas Bryant,C,28,59,2.2,0.5,0.587,6
Justin Edwards,SF,22,60,2.2,0.449,0.554,6
Tyson Etienne,PG,26,19,1.8,0.42,0.605,6
Tre Scott,PF,29,1,2,0.667,0.833,6
KJ Simpson,PG,23,14,2.2,0.348,0.416,6
Chris Youngblood,SG,23,1,2,0.667,1,6
Josh Minott,PF,23,33,2.1,0.507,0.632,5.8
Nick Richards,C,28,48,2.1,0.512,0.525,5.8
Steven Adams,C,32,32,2.2,0.504,0.504,5.8
Ryan Dunn,SF,23,66,2.4,0.452,0.53,5.8
Kris Murray,SF,25,53,2.3,0.457,0.515,5.8
Jalen Slawson,SF,26,8,1.9,0.349,0.442,5.8
Nick Smith Jr.,SG,21,25,2.2,0.421,0.523,5.8
Dean Wade,PF,29,57,2.1,0.432,0.557,5.8
Jalen Wilson,PF,25,49,1.8,0.386,0.491,5.8
Tre Mann,PG,24,51,2.1,0.362,0.446,5.7
Jahmai Mashack,SG,23,28,2.3,0.399,0.449,5.7
Karlo Matković,PF,24,62,2.3,0.604,0.685,5.7
Ethan Thompson,SG,26,27,2,0.386,0.493,5.7
Matisse Thybulle,SG,28,26,1.9,0.434,0.571,5.7
Keon Ellis,SG,26,43,1.9,0.397,0.524,5.6
Mitchell Robinson,C,27,58,2.4,0.724,0.724,5.6
Marcus Sasser,PG,25,34,1.9,0.407,0.537,5.6
Dru Smith,SG,28,70,1.9,0.415,0.474,5.6
Guerschon Yabusele,C,30,64,1.8,0.403,0.516,5.5
Kobe Brown,PF,26,57,2,0.473,0.565,5.5
Rob Dillingham,PG,21,60,2.2,0.38,0.427,5.5
Goga Bitadze,C,26,59,2.2,0.672,0.677,5.5
Jamaree Bouyea,PG,26,42,2.3,0.466,0.515,5.5
Eric Gordon,SG,37,6,2,0.571,0.762,5.5
