Player,Pos,Age,G,FG,FG%,eFG%,PTS
Luka Dončić,PG,26,64,10.8,0.476,0.563,33.5
Shai Gilgeous-Alexander,PG,27,65,10.8,0.551,0.594,31.6
Anthony Edwards,SG,24,60,9.9,0.489,0.572,28.9
Jaylen Brown,SF,29,68,10.4,0.475,0.521,28.7
Tyrese Maxey,PG,25,66,10,0.463,0.538,28.6
Kawhi Leonard,SF,34,61,9.8,0.505,0.572,28
Nikola Jokić,C,30,62,10,0.571,0.622,27.9
Donovan Mitchell,SG,29,68,9.6,0.479,0.56,27.7
Giannis Antetokounmpo,PF,31,36,10.4,0.624,0.636,27.6
Stephen Curry,PG,37,39,8.9,0.468,0.585,27.2
Joel Embiid,C,31,37,9,0.491,0.529,26.7
Lauri Markkanen,PF,28,42,9.1,0.477,0.548,26.7
Jalen Brunson,PG,29,71,9.2,0.465,0.531,26
Kevin Durant,SF,37,74,9.1,0.518,0.585,25.8
Devin Booker,SG,29,61,8.5,0.456,0.507,25.7
Jamal Murray,PG,28,73,8.8,0.483,0.573,25.5
James Harden,PG,36,44,7.3,0.419,0.506,25.4
Victor Wembanyama,C,22,62,8.6,0.509,0.565,24.9
Cade Cunningham,PG,24,61,8.7,0.461,0.515,24.5
Michael Porter Jr.,SF,27,52,8.5,0.463,0.555,24.2
Pascal Siakam,PF,31,62,9,0.484,0.529,24
Deni Avdija,SF,25,62,7.3,0.458,0.517,23.9
James Harden,PG,36,67,7,0.436,0.532,23.6
Keyonte George,PG,22,54,7.4,0.456,0.532,23.6
Austin Reaves,SG,27,51,7.3,0.49,0.567,23.3
Jalen Johnson,SF,24,69,8.4,0.493,0.541,22.8
Jaren Jackson Jr.,C,26,3,8,0.49,0.541,22.3
Paolo Banchero,PF,23,67,7.4,0.457,0.494,22.2
Norman Powell,SG,32,55,7.4,0.473,0.56,22.1
Trey Murphy III,SF,25,66,7.5,0.47,0.572,21.5
Tyler Herro,SG,26,30,7.8,0.481,0.563,21.4
Brandon Ingram,SF,28,72,7.9,0.472,0.524,21.4
Shaedon Sharpe,SG,22,48,8,0.456,0.515,21.4
