Player,Pos,Age,G,FG,FG%,eFG%,PTS
Robert Williams,C,27,20,2.5,0.641,0.647,5.8
Javonte Green,SG,31,50,2,0.446,0.531,5.8
Jaylen Martin,SF,21,13,2.3,0.417,0.458,5.8
Drew Eubanks,C,27,37,2.4,0.607,0.617,5.8
Moussa Diabaté,C,23,71,2.4,0.596,0.596,5.7
Dariq Whitehead,SF,20,20,2,0.406,0.578,5.7
Landry Shamet,SG,27,50,2.1,0.461,0.596,5.7
Jordan Goodwin,PG,26,29,2.2,0.438,0.528,5.6
Shake Milton,SG,28,57,2,0.453,0.528,5.5
Aaron Holiday,PG,28,62,1.9,0.437,0.571,5.5
Lindy Waters III,SG,27,38,2,0.371,0.49,5.5
Markieff Morris,PF,35,8,2,0.333,0.406,5.5
Caleb Martin,SF,29,14,2,0.389,0.417,5.4
Jeff Green,PF,38,32,1.9,0.504,0.624,5.4
Jonathan Isaac,PF,27,71,1.9,0.414,0.474,5.4
Dean Wade,PF,28,59,1.9,0.413,0.561,5.4
Keaton Wallace,PG,25,31,2.1,0.401,0.485,5.4
Wendell Moore Jr.,SG,23,16,2.3,0.474,0.539,5.4
Kyle Anderson,PF,31,36,2.1,0.45,0.506,5.3
Kobe Bufkin,SG,21,10,1.8,0.383,0.426,5.3
Jamal Cain,SF,25,37,1.8,0.43,0.513,5.3
Pat Connaughton,SG,32,41,2,0.469,0.542,5.3
Kevin Love,PF,36,23,1.8,0.357,0.461,5.3
Ben Sheppard,SG,23,63,1.9,0.418,0.537,5.3
Alex Reese,PF,25,14,1.8,0.472,0.613,5.3
Maxwell Lewis,SF,22,21,2,0.422,0.515,5.3
Monte Morris,PG,29,45,1.8,0.426,0.505,5.2
Jabari Walker,SF,22,60,2,0.515,0.576,5.2
Javonte Green,SG,31,68,1.8,0.429,0.509,5.1
Alex Reese,PF,25,15,1.7,0.481,0.62,5.1
Bismack Biyombo,C,32,28,2.4,0.588,0.588,5.1
Mitchell Robinson,C,26,17,2.2,0.661,0.661,5.1
Kai Jones,C,24,40,2.2,0.798,0.803,5
Ben Simmons,PG,28,51,2.3,0.52,0.52,5
Malaki Branham,SG,21,47,1.9,0.458,0.547,5
Neemias Queta,C,25,62,2.1,0.65,0.65,5
Alondes Williams,SG,25,1,2,1,1.25,5
Jaylen Martin,SF,21,16,1.9,0.419,0.466,4.9
Lindy Waters III,SG,27,52,1.8,0.369,0.498,4.9
Trevelin Queen,SG,27,31,1.8,0.381,0.456,4.9
Marvin Bagley III,C,25,19,2,0.535,0.549,4.9
Jock Landale,C,29,42,1.9,0.533,0.569,4.8
Colin Castleton,C,24,26,1.8,0.469,0.48,4.7
Taylor Hendricks,PF,21,3,1.3,0.222,0.306,4.7
Zach Collins,C,27,36,1.7,0.462,0.515,4.6
David Roddy,PF,23,33,1.7,0.456,0.532,4.6
Drew Eubanks,C,27,61,1.9,0.593,0.601,4.6
Pelle Larsson,SG,23,55,1.6,0.438,0.517,4.6
Julian Phillips,SF,21,79,1.6,0.446,0.533,4.6
Cody Williams,SG,20,50,1.7,0.323,0.391,4.6
Mo Bamba,C,26,28,1.7,0.466,0.539,4.6
David Roddy,PF,23,27,1.6,0.473,0.559,4.5
Rob Dillingham,PG,20,49,1.9,0.441,0.5,4.5
Jett Howard,SF,21,60,1.6,0.374,0.479,4.5
Kevon Looney,C,28,76,1.9,0.514,0.518,4.5
Mason Plumlee,C,34,74,1.7,0.619,0.619,4.5
Dalen Terry,SG,22,73,1.6,0.448,0.517,4.5
Tre Jones,PG,25,28,1.6,0.484,0.527,4.4
Marvin Bagley III,PF,25,31,1.8,0.519,0.533,4.4
Charles Bassey,C,24,36,1.9,0.581,0.581,4.4
Tony Bradley,C,27,14,2.1,0.644,0.656,4.4
Reggie Jackson,PG,34,31,1.7,0.391,0.485,4.4
Reed Sheppard,PG,20,52,1.6,0.351,0.452,4.4
Lamar Stevens,PF,27,17,1.7,0.46,0.524,4.4
Patty Mills,PG,36,17,1.5,0.342,0.454,4.4
Elfrid Payton,PG,30,18,2.1,0.366,0.371,4.4
David Roddy,PF,23,3,1.7,0.385,0.423,4.3
Mo Bamba,C,26,32,1.6,0.464,0.531,4.3
Jevon Carter,PG,29,36,1.5,0.377,0.497,4.3
Micah Potter,C,26,38,1.5,0.422,0.537,4.3
Terrence Shannon Jr.,SG,24,32,1.7,0.482,0.531,4.3
Daniel Theis,C,32,38,1.6,0.473,0.508,4.3
Delon Wright,PG,32,14,1.6,0.469,0.551,4.3
Torrey Craig,SF,34,26,1.5,0.422,0.556,4.2
Wendell Moore Jr.,SG,23,36,1.6,0.468,0.524,4.2
Dominick Barlow,SF,21,35,1.7,0.531,0.562,4.2
Kessler Edwards,SF,24,40,1.7,0.496,0.578,4.2
Oso Ighodaro,PF,22,61,1.9,0.604,0.604,4.2
Kris Murray,SF,24,69,1.7,0.419,0.468,4.2
Duop Reath,C,28,46,1.5,0.422,0.524,4.2
Cam Spencer,SG,24,25,1.4,0.415,0.53,4.2
Thomas Bryant,C,27,10,1.2,0.429,0.536,4.1
Maxwell Lewis,SF,22,28,1.6,0.417,0.505,4.1
Jaylen Clark,SG,23,40,1.4,0.467,0.558,4.1
Caleb Houstan,SF,22,58,1.4,0.421,0.589,4.1
Jordan Miller,SF,25,37,1.6,0.433,0.463,4.1
Jalen Pickett,SG,25,49,1.6,0.428,0.539,4.1
Paul Reed,C,25,45,1.6,0.507,0.535,4.1
Gui Santos,PF,22,56,1.5,0.458,0.553,4.1
Jarred Vanderbilt,PF,25,36,1.6,0.488,0.525,4.1
Colby Jones,SG,22,39,1.5,0.457,0.519,4
Nicolas Batum,PF,36,78,1.3,0.437,0.622,4
Malachi Flynn,PG,26,4,1.3,0.385,0.423,4
Ron Harper Jr.,SF,24,1,1,0.125,0.125,4
Josh Richardson,SG,31,8,1.4,0.289,0.368,4
MarJon Beauchamp,SF,24,3,1.3,0.571,0.714,4
Shake Milton,SG,28,30,1.4,0.433,0.485,3.9
Steven Adams,C,31,58,1.6,0.545,0.545,3.9
Kyle Lowry,PG,38,35,1.2,0.35,0.474,3.9
Olivier-Maxence Prosper,PF,22,52,1.3,0.402,0.437,3.9
JT Thor,PF,22,11,1.5,0.364,0.398,3.9
Patty Mills,PG,36,29,1.2,0.375,0.51,3.8
Branden Carlson,C,25,32,1.3,0.443,0.557,3.8
Devin Carter,PG,22,36,1.3,0.37,0.441,3.8
Ousmane Dieng,C,21,37,1.5,0.432,0.524,3.8
Pete Nance,PF,24,6,1.5,0.529,0.676,3.8
Jaden Springer,PG,22,17,1.4,0.411,0.464,3.8
Cody Martin,SF,29,14,1.4,0.351,0.377,3.7
Markieff Morris,PF,35,15,1.4,0.3,0.364,3.7
Emoni Bates,SF,21,10,1.3,0.342,0.487,3.7
DeAndre Jordan,C,36,56,1.6,0.65,0.65,3.7
Craig Porter Jr.,PG,24,51,1.4,0.514,0.589,3.7
Jackson Rowe,PF,28,6,1.3,0.471,0.559,3.7
Blake Wesley,SG,21,58,1.4,0.435,0.481,3.7
Marvin Bagley III,PF,25,12,1.4,0.486,0.5,3.6
JT Thor,PF,22,20,1.3,0.424,0.475,3.6
Baylor Scheierman,SG,24,31,1.3,0.355,0.473,3.6
Jae'Sean Tate,SF,29,52,1.3,0.473,0.527,3.6
Jaylon Tyson,SG,22,47,1.4,0.43,0.497,3.6
Elfrid Payton,PG,30,24,1.7,0.328,0.332,3.5
Luka Garza,C,26,39,1.3,0.495,0.543,3.5
Cory Joseph,PG,33,50,1.2,0.403,0.529,3.5
Doug McDermott,SF,33,42,1.2,0.427,0.615,3.5
Dario Šarić,C,30,16,1.3,0.362,0.422,3.5
Lindy Waters III,SG,27,14,1.1,0.364,0.534,3.4
Jamaree Bouyea,PG,25,5,1.2,0.5,0.542,3.4
Bruno Fernando,C,26,17,1.5,0.531,0.531,3.4
Andre Jackson Jr.,SG,23,67,1.4,0.477,0.553,3.4
Isaac Jones,PF,24,40,1.4,0.651,0.669,3.4
Javonte Green,SG,31,18,1.3,0.365,0.429,3.3
Kevin Knox,SF,25,14,1.3,0.5,0.556,3.3
Damion Lee,SG,32,25,1.1,0.365,0.426,3.3
Jeenathan Williams,SG,25,20,1.4,0.435,0.484,3.3
Kylor Kelley,C,27,3,1.3,0.444,0.444,3.3
Moses Brown,C,25,9,1.4,0.65,0.65,3.2
Wendell Moore Jr.,SG,23,20,1.2,0.46,0.5,3.2
Elijah Harkless,SG,24,10,1.1,0.314,0.414,3.2
Zeke Nnaji,PF,24,57,1.2,0.496,0.557,3.2
Cam Reddish,SF,25,33,1.2,0.404,0.473,3.2
Patty Mills,PG,36,12,0.8,0.5,0.725,3.1
JT Thor,PF,22,9,1,0.6,0.7,3.1
Delon Wright,PG,32,40,1.1,0.344,0.42,3.1
Kylor Kelley,C,27,11,1.3,0.636,0.636,3.1
Kylor Kelley,C,27,8,1.3,0.769,0.769,3
Gary Harris,SG,30,48,1.1,0.383,0.519,3
Maxi Kleber,PF,33,34,1.1,0.385,0.453,3
Taze Moore,SG,26,2,1,0.2,0.25,3
Rayan Rupert,SG,20,52,1.1,0.408,0.465,3
P.J. Tucker,SF,39,3,1,0.429,0.643,3
Patrick Baldwin Jr.,SF,22,2,1,1,1.5,3
AJ Johnson,SG,20,7,1.1,0.421,0.5,2.9
Ben Simmons,PG,28,18,1.3,0.434,0.434,2.9
Pete Nance,C,24,13,1.1,0.438,0.578,2.9
Markelle Fultz,PG,26,21,1.3,0.418,0.448,2.9
Taj Gibson,C,39,37,1.3,0.495,0.5,2.9
Tyler Smith,PF,20,23,1,0.48,0.61,2.9
Drew Eubanks,C,27,24,1.1,0.551,0.551,2.7
Torrey Craig,SF,34,17,0.9,0.356,0.456,2.7
RayJ Dennis,PG,23,11,1,0.333,0.424,2.7
David Duke Jr.,SG,25,6,1,0.429,0.536,2.7
Keshad Johnson,SF,23,16,1.1,0.692,0.75,2.7
Reece Beekman,PG,23,34,1,0.321,0.354,2.7
Reece Beekman,PG,23,36,1,0.327,0.36,2.6
Jae Crowder,PF,34,9,0.8,0.318,0.409,2.6
Josh Minott,SF,22,46,1,0.489,0.567,2.6
Hunter Tyson,PF,24,51,0.9,0.375,0.471,2.6
Trey Jemison,C,25,22,1.2,0.619,0.619,2.6
Chuma Okeke,PF,26,2,1,0.286,0.357,2.5
Mo Bamba,C,26,4,1,0.444,0.444,2.5
Delon Wright,PG,32,26,0.8,0.268,0.341,2.5
Jaden Springer,PG,22,43,0.8,0.389,0.456,2.5
Trey Jemison,C,25,38,1.1,0.554,0.554,2.5
Anthony Gill,PF,32,51,0.8,0.489,0.545,2.5
Dillon Jones,SF,23,54,0.9,0.383,0.444,2.5
Pat Spencer,PG,28,39,1.1,0.406,0.431,2.5
MarJon Beauchamp,SF,24,6,0.8,0.455,0.5,2.5
Jordan McLaughlin,PG,28,18,0.8,0.536,0.696,2.5
Trey Jemison,C,25,16,0.9,0.469,0.469,2.4
Johnny Davis,SG,22,34,0.9,0.41,0.455,2.4
Christian Koloko,C,24,37,1.1,0.606,0.606,2.4
John Konchar,SG,28,46,0.9,0.451,0.577,2.4
Jericho Sims,C,26,14,1.2,0.68,0.68,2.4
Lester Quiñones,SG,24,4,1,0.5,0.5,2.3
MarJon Beauchamp,SF,24,35,0.8,0.415,0.492,2.3
Bronny James,SG,20,27,0.8,0.313,0.381,2.3
Mason Jones,SG,26,10,0.9,0.5,0.528,2.3
Miles Norris,PF,24,3,0.7,0.222,0.333,2.3
Kai Jones,C,24,28,0.9,0.722,0.722,2.2
Patrick Baldwin Jr.,SF,22,24,0.8,0.543,0.729,2.2
Drew Peterson,PF,25,25,0.7,0.415,0.573,2.2
TyTy Washington Jr.,PG,23,16,0.9,0.311,0.356,2.2
Alex Len,C,31,10,1,0.455,0.477,2.2
Orlando Robinson,C,24,9,0.8,0.412,0.441,2.1
Pete Nance,C,24,7,0.7,0.333,0.467,2.1
Patrick Baldwin Jr.,SF,22,22,0.8,0.515,0.682,2.1
Jordan McLaughlin,PG,28,46,0.7,0.431,0.563,2.1
JD Davison,PG,22,16,0.8,0.353,0.412,2.1
Chris Duarte,SG,27,17,0.7,0.462,0.577,2.1
Enrique Freeman,PF,24,22,0.7,0.432,0.446,2.1
Johnny Furphy,SG,20,50,0.7,0.38,0.462,2.1
Dwight Powell,C,33,55,0.8,0.689,0.705,2.1
Jalen Hood-Schifino,SG,21,2,0.5,1,1,2
Alex Reese,PF,25,1,1,1,1,2
MarJon Beauchamp,SF,24,26,0.7,0.383,0.457,2
Josh Christopher,SG,23,14,0.8,0.355,0.387,2
Tyler Kolek,PG,23,41,0.7,0.329,0.415,2
Adama Sanogo,C,22,4,1,0.571,0.571,2
Sidy Cissoko,SF,20,5,0.8,0.333,0.333,2
Jordan McLaughlin,PG,28,28,0.6,0.364,0.477,1.9
Kobe Brown,PF,25,40,0.8,0.458,0.5,1.9
Ariel Hukporti,C,22,25,0.8,0.677,0.677,1.9
Bobi Klintman,SF,21,8,0.8,0.6,0.7,1.9
Garrett Temple,SG,38,28,0.6,0.3,0.35,1.9
Jericho Sims,C,26,53,0.8,0.634,0.634,1.8
Vlatko Čančar,PF,27,13,0.8,0.385,0.462,1.8
Adam Flagler,SG,25,37,0.7,0.26,0.333,1.8
Trentyn Flowers,SF,19,6,0.7,0.364,0.364,1.8
E.J. Liddell,PF,24,12,0.7,0.533,0.633,1.8
Jahmir Young,PG,24,6,0.7,0.8,0.9,1.8
Markieff Morris,PF,35,7,0.7,0.227,0.273,1.7
Jaden Springer,SG,22,26,0.5,0.353,0.441,1.7
Pacome Dadiet,SG,19,18,0.6,0.323,0.419,1.7
Alex Ducas,SG,24,21,0.6,0.4,0.567,1.7
PJ Hall,C,22,19,0.7,0.583,0.625,1.7
Emanuel Miller,PF,24,6,0.7,0.5,0.5,1.7
Tristan Thompson,C,33,40,0.8,0.437,0.437,1.7
Jericho Sims,C,26,39,0.7,0.609,0.609,1.6
Alex Len,C,31,46,0.7,0.508,0.524,1.6
Yuki Kawamura,PG,23,22,0.5,0.367,0.483,1.6
Jack McVeigh,PF,28,9,0.6,0.294,0.412,1.6
Armel Traoré,SF,22,9,0.7,0.316,0.316,1.6
Jordan Walsh,PF,20,52,0.6,0.361,0.452,1.6
Phillip Wheeler,PF,22,5,0.6,0.143,0.143,1.6
Sidy Cissoko,SF,20,22,0.6,0.433,0.483,1.5
Jazian Gortman,PG,21,16,0.6,0.391,0.478,1.5
Kevin McCullar Jr.,SF,23,4,0.5,0.286,0.286,1.5
Leonard Miller,SF,21,13,0.5,0.4,0.4,1.5
Quincy Olivari,PG,23,2,0.5,0.2,0.3,1.5
Matt Ryan,SF,27,19,0.5,0.323,0.419,1.5
Colin Castleton,C,24,10,0.2,0.2,0.2,1.4
Alex Len,C,31,36,0.6,0.537,0.549,1.4
Jacob Toppin,SF,24,17,0.5,0.409,0.523,1.4
Cam Christie,SG,19,13,0.5,0.292,0.333,1.4
Chris Livingston,SF,21,21,0.4,0.333,0.333,1.4
Bones Hyland,PG,24,4,0.5,0.667,0.833,1.3
Sidy Cissoko,SF,20,17,0.5,0.5,0.583,1.3
Trey Alexander,SG,21,24,0.5,0.317,0.354,1.3
Spencer Jones,SF,23,20,0.6,0.324,0.338,1.3
Skal Labissière,PF,28,4,0.5,0.5,0.625,1.3
Colby Jones,SG,22,24,0.5,0.423,0.5,1.1
Jalen Bridges,SF,23,8,0.3,0.286,0.429,1.1
Jared Rhoden,SG,25,4,0.5,0.25,0.25,1
Jaylen Martin,SF,21,3,0.3,0.5,0.75,1
Elfrid Payton,PG,30,6,0.5,0.143,0.143,1
Reece Beekman,PG,23,2,0.5,1,1,1
Yuri Collins,PG,23,2,0.5,0.333,0.333,1
Daniss Jenkins,PG,23,7,0.4,0.3,0.35,1
Braxton Key,SF,27,3,0,0,0,1
Bryce McGowens,SG,22,13,0.3,0.286,0.286,1
Xavier Tillman Sr.,C,26,33,0.4,0.245,0.292,1
Luke Travers,SG,23,12,0.4,0.25,0.25,1
Isaiah Crawford,SF,23,15,0.3,0.455,0.5,0.9
Justin Minaya,SF,25,19,0.4,0.381,0.429,0.9
Anton Watson,SF,24,9,0.4,0.444,0.444,0.9
D.J. Carton,SG,24,4,0.3,0.143,0.143,0.8
PJ Dozier,SG,28,9,0.2,0.667,1,0.8
Joe Ingles,SF,37,19,0.3,0.261,0.326,0.8
Harrison Ingram,SF,22,5,0.4,0.5,0.5,0.8
Ulrich Chomche,PF,19,7,0.3,0.4,0.4,0.7
James Johnson,PF,37,12,0.3,0.364,0.364,0.7
Liam Robbins,C,25,13,0.2,0.25,0.25,0.7
Stanley Umude,SG,25,22,0.2,0.192,0.25,0.7
Maxwell Lewis,SF,22,7,0.3,0.333,0.333,0.6
Cui Yongxi,SG,21,5,0.2,0.143,0.143,0.6
Tristen Newton,SG,23,5,0.2,0.167,0.167,0.6
Jacob Toppin,SF,24,16,0.2,0.3,0.3,0.4
Tristen Newton,SG,23,8,0.1,0.125,0.125,0.4
Malevy Leons,SF,25,6,0,0,0,0.3
Daishen Nix,PG,22,3,0,0,0,0.3
Vasilije Micić,PG,31,5,0,NA,NA,0
Cole Swider,SF,25,2,0,0,0,0
Tristen Newton,SG,23,3,0,0,0,0
Terence Davis,SG,27,1,0,0,0,0
Jesse Edwards,C,24,2,0,NA,NA,0
Mac McClung,SG,26,2,0,0,0,0
Jalen McDaniels,SF,27,4,0,NA,NA,0
Riley Minix,SF,24,1,0,0,0,0
Jahlil Okafor,C,29,1,0,NA,NA,0
Zyon Pullin,SG,23,3,0,0,0,0
Isaiah Stevens,PG,24,3,0,0,0,0
Terry Taylor,PF,25,3,0,0,0,0
League Average,,NA,NA,NA,0.467,0.543,NA
