Player,Pos,Age,G,FG,FG%,eFG%,PTS
Jalen Suggs,PG,23,35,5.6,0.41,0.489,16.2
Bennedict Mathurin,SF,22,72,5.4,0.458,0.516,16.1
Myles Turner,C,28,72,5.4,0.481,0.577,15.6
Christian Braun,SG,23,79,6,0.58,0.634,15.4
Jonathan Kuminga,PF,22,47,5.5,0.454,0.495,15.3
Jared McCain,SG,20,23,5.5,0.46,0.553,15.3
Mark Williams,C,23,44,6.1,0.604,0.604,15.3
Kyle Kuzma,PF,29,32,6,0.42,0.469,15.2
Kelly Oubre Jr.,SF,29,60,5.8,0.47,0.518,15.1
Chet Holmgren,C,22,32,5.2,0.49,0.554,15
Caris LeVert,SG,30,26,5.6,0.482,0.558,14.9
Kyle Kuzma,PF,29,65,5.7,0.436,0.493,14.8
Stephon Castle,PG,20,81,5.2,0.428,0.476,14.7
Aaron Gordon,PF,29,51,5.2,0.531,0.607,14.7
P.J. Washington,PF,26,57,5.3,0.453,0.521,14.7
Quentin Grimes,SG,24,75,5.1,0.467,0.565,14.6
Josh Giddey,PG,22,70,5.3,0.465,0.531,14.6
Kyle Kuzma,PF,29,33,5.4,0.455,0.52,14.5
Jakob Poeltl,C,29,57,6.4,0.627,0.628,14.5
Deandre Ayton,C,26,40,6.6,0.566,0.573,14.4
Gradey Dick,SG,21,54,4.9,0.41,0.498,14.4
Jerami Grant,PF,30,47,4.6,0.373,0.467,14.4
De'Andre Hunter,SF,27,27,4.9,0.485,0.596,14.3
Payton Pritchard,PG,27,80,5.1,0.472,0.62,14.3
Naz Reid,C,25,80,5.3,0.462,0.556,14.2
Dyson Daniels,SG,21,76,6,0.493,0.536,14.1
Tre Mann,PG,23,13,5.4,0.435,0.509,14.1
Amen Thompson,SF,22,69,5.6,0.557,0.575,14.1
Fred VanVleet,PG,30,60,4.8,0.378,0.483,14.1
Dillon Brooks,SF,29,75,5.1,0.429,0.533,14
Tolu Smith,PF,24,1,6,0.667,0.667,14
Klay Thompson,SF,34,72,5,0.412,0.535,14
Bobby Portis,PF,29,49,5.7,0.466,0.52,13.9
Tobias Harris,PF,32,73,5.3,0.477,0.534,13.7
Josh Hart,SG,29,77,5.2,0.525,0.579,13.6
Jarrett Allen,C,26,82,5.5,0.706,0.706,13.5
Onyeka Okongwu,C,24,74,5.2,0.567,0.602,13.4
Russell Westbrook,PG,36,75,5,0.449,0.505,13.3
Naji Marshall,SF,27,69,5.2,0.508,0.551,13.2
Kevin Huerter,SG,26,26,5,0.439,0.558,13.2
Dennis Schröder,PG,31,75,4.5,0.406,0.483,13.1
Rui Hachimura,PF,26,59,5,0.509,0.597,13.1
Brook Lopez,C,36,80,4.9,0.509,0.599,13
Alex Sarr,C,19,67,4.9,0.394,0.457,13
Moritz Wagner,C,27,30,4.7,0.562,0.616,12.9
D'Angelo Russell,PG,28,29,4.1,0.367,0.454,12.9
Malcolm Brogdon,PG,32,24,4.3,0.433,0.467,12.7
Scoot Henderson,PG,20,66,4.3,0.419,0.496,12.7
Keldon Johnson,SF,25,77,4.8,0.482,0.538,12.7
D'Angelo Russell,PG,28,58,4.3,0.39,0.479,12.6
Zaccharie Risacher,SF,19,75,4.8,0.458,0.537,12.6
Khris Middleton,SF,33,23,4.7,0.512,0.595,12.6
Santi Aldama,PF,24,65,4.8,0.483,0.576,12.5
Ty Jerome,SG,27,70,4.6,0.516,0.606,12.5
D'Angelo Russell,PG,28,29,4.4,0.415,0.505,12.4
Keegan Murray,PF,24,76,4.8,0.444,0.538,12.4
Lonnie Walker IV,SG,26,20,4.5,0.42,0.526,12.4
Harrison Barnes,PF,32,82,4.2,0.508,0.622,12.3
Bilal Coulibaly,SF,20,59,4.5,0.421,0.472,12.3
Ayo Dosunmu,SG,25,46,4.8,0.492,0.561,12.3
Daniel Gafford,C,26,57,5,0.702,0.702,12.3
Jaden McDaniels,PF,24,82,4.9,0.477,0.537,12.2
Jabari Smith Jr.,PF,21,57,4.4,0.438,0.525,12.2
Caris LeVert,SG,30,64,4.4,0.467,0.556,12.1
Drew Timme,PF,24,9,5,0.441,0.485,12.1
Georges Niang,PF,31,28,4.3,0.441,0.581,12.1
Tari Eason,PF,23,57,4.8,0.487,0.543,12
Rudy Gobert,C,32,72,4.7,0.669,0.669,12
Aaron Nesmith,SF,25,45,4.3,0.507,0.617,12
Aaron Wiggins,SG,26,76,4.7,0.488,0.577,12
Khris Middleton,SF,33,37,4.3,0.475,0.546,11.9
Jalen Duren,C,21,78,4.8,0.692,0.692,11.8
Moses Brown,C,25,4,5.3,0.724,0.724,11.8
Donte DiVincenzo,SG,28,62,4,0.422,0.568,11.7
Brandin Podziemski,SG,21,64,4.4,0.445,0.537,11.7
Kevin Porter Jr.,SG,24,30,4,0.494,0.553,11.7
Corey Kispert,SF,25,61,4.2,0.451,0.558,11.6
Jonas Valančiūnas,C,32,49,4.7,0.547,0.556,11.5
Jared Butler,SG,24,28,4.2,0.426,0.507,11.5
Tre Jones,PG,25,18,4.6,0.572,0.61,11.5
Jeremy Sochan,PF,21,54,4.6,0.535,0.565,11.4
Bogdan Bogdanović,SG,32,30,4.2,0.474,0.588,11.4
Jared Rhoden,SG,25,10,4,0.506,0.582,11.4
Kai Jones,C,24,12,5.1,0.836,0.842,11.4
Toumani Camara,PF,24,78,4.2,0.458,0.552,11.3
Isaiah Hartenstein,C,26,57,4.9,0.581,0.581,11.2
Max Christie,SG,21,32,3.9,0.411,0.502,11.2
Buddy Hield,SG,32,82,4,0.417,0.546,11.1
Jrue Holiday,PG,34,62,4.1,0.443,0.538,11.1
Walker Kessler,C,23,58,4.8,0.663,0.671,11.1
Gary Trent Jr.,SG,26,74,3.8,0.431,0.568,11.1
Spencer Dinwiddie,PG,31,79,3.6,0.416,0.496,11
Tim Hardaway Jr.,SG,32,77,3.6,0.406,0.529,11
Duncan Robinson,SF,30,74,3.9,0.437,0.581,11
Guerschon Yabusele,C,29,70,4,0.501,0.593,11
Brice Sensabaugh,SF,21,71,3.9,0.459,0.59,10.9
Dennis Schröder,PG,31,28,3.4,0.378,0.442,10.8
Bogdan Bogdanović,SG,32,54,3.9,0.427,0.534,10.8
Jordan Hawkins,SG,22,56,3.7,0.372,0.471,10.8
Khris Middleton,SF,33,14,3.7,0.413,0.464,10.7
Brandon Boston Jr.,SG,23,42,4,0.436,0.5,10.7
Nikola Jović,PF,21,46,3.7,0.456,0.56,10.7
Kelly Olynyk,C,33,20,3.8,0.5,0.547,10.7
Dennis Schröder,SG,31,24,3.9,0.375,0.448,10.6
Grayson Allen,SG,29,64,3.4,0.448,0.6,10.6
Keon Johnson,SG,22,79,3.8,0.389,0.47,10.6
Terry Rozier,PG,30,64,3.9,0.391,0.462,10.6
Obi Toppin,PF,26,79,4,0.529,0.621,10.5
Jonas Valančiūnas,C,32,81,4.3,0.55,0.557,10.4
Ochai Agbaji,SG,24,64,4.2,0.498,0.593,10.4
Jaylen Wells,SG,21,79,3.6,0.425,0.527,10.4
Grant Williams,PF,26,16,3.4,0.439,0.549,10.4
Dorian Finney-Smith,PF,31,20,3.7,0.459,0.607,10.4
Kevin Porter Jr.,SG,24,75,3.9,0.449,0.492,10.3
Jose Alvarado,PG,26,56,3.6,0.392,0.498,10.3
Nic Claxton,C,25,70,4.6,0.563,0.568,10.3
Herbert Jones,SF,26,20,3.8,0.436,0.5,10.3
De'Anthony Melton,SG,26,6,3.7,0.407,0.528,10.3
Davion Mitchell,PG,26,30,3.9,0.504,0.595,10.3
Quentin Grimes,SG,24,47,3.6,0.463,0.573,10.2
Caris LeVert,SF,30,38,3.6,0.453,0.554,10.2
Isaiah Joe,SG,25,74,3.5,0.44,0.604,10.2
Tyus Jones,PG,28,81,3.8,0.448,0.57,10.2
Trendon Watford,PF,24,44,3.7,0.469,0.51,10.2
Keion Brooks Jr.,SF,24,14,3.8,0.486,0.55,10.1
Luguentz Dort,SF,25,71,3.6,0.435,0.578,10.1
Justin Edwards,SF,21,44,3.9,0.455,0.546,10.1
Derrick Jones Jr.,SF,27,77,4,0.526,0.593,10.1
Ausar Thompson,SF,22,59,4.2,0.535,0.547,10.1
Bogdan Bogdanović,SG,32,24,3.5,0.371,0.469,10
Chris Boucher,PF,32,50,3.6,0.492,0.586,10
Andrew Nembhard,SG,25,65,3.8,0.458,0.506,10
Ziaire Williams,SF,23,63,3.4,0.412,0.511,10
Kevin Huerter,SG,26,69,3.7,0.425,0.535,9.9
Georges Niang,PF,31,79,3.6,0.461,0.595,9.9
Julian Champagnie,SF,23,82,3.4,0.415,0.549,9.9
Scotty Pippen Jr.,PG,24,79,3.6,0.48,0.553,9.9
Nick Smith Jr.,SG,20,60,3.7,0.391,0.482,9.9
Bub Carrington,PG,19,82,3.7,0.401,0.493,9.8
Moses Moody,SG,22,74,3.3,0.433,0.544,9.8
Terance Mann,SG,28,30,3.9,0.541,0.619,9.8
Amir Coffey,SG,27,72,3.3,0.471,0.57,9.7
Max Christie,SG,21,78,3.2,0.427,0.525,9.6
Kyle Filipowski,C,21,72,3.6,0.502,0.576,9.6
Tosan Evbuomwan,SF,23,28,3.4,0.427,0.482,9.5
Miles McBride,PG,24,64,3.5,0.406,0.511,9.5
Jalen Wilson,PF,24,79,3.1,0.397,0.495,9.5
Nick Richards,C,27,36,3.9,0.605,0.605,9.5
Nickeil Alexander-Walker,SG,26,82,3.3,0.438,0.553,9.4
Cole Anthony,PG,24,67,3.4,0.424,0.494,9.4
Anthony Black,PG,21,78,3.4,0.423,0.473,9.4
Max Strus,SF,28,50,3.3,0.442,0.594,9.4
Tristan Vukcevic,C,21,35,3.4,0.496,0.574,9.4
Cam Whitmore,SF,20,51,3.5,0.444,0.525,9.4
Kevin Porter Jr.,SG,24,45,3.8,0.423,0.455,9.3
Nick Richards,C,27,57,3.6,0.591,0.591,9.3
Kel'el Ware,C,20,64,4,0.554,0.592,9.3
Marcus Smart,PG,30,15,3.2,0.44,0.532,9.3
Zach Edey,C,22,66,3.8,0.58,0.6,9.2
Jusuf Nurkić,C,30,26,3.6,0.497,0.532,9.2
Wendell Carter Jr.,C,25,68,3.3,0.46,0.498,9.1
Noah Clowney,PF,20,46,2.9,0.358,0.474,9.1
Dalton Knecht,SF,23,78,3.3,0.461,0.576,9.1
A.J. Lawson,SG,24,26,3.1,0.421,0.508,9.1
T.J. McConnell,PG,32,79,4.1,0.519,0.531,9.1
Yves Missi,C,20,73,3.7,0.547,0.547,9.1
Royce O'Neale,SF,31,75,3.2,0.423,0.58,9.1
Caleb Martin,SF,29,31,3.3,0.435,0.506,9.1
AJ Johnson,SG,20,22,3.4,0.381,0.436,9.1
Jared Butler,SG,24,60,3.4,0.448,0.514,9
Marcus Smart,PG,30,34,3,0.393,0.488,9
Draymond Green,PF,34,68,3.2,0.424,0.503,9
Killian Hayes,PG,23,6,3,0.419,0.512,9
Al Horford,C,38,60,3.3,0.423,0.547,9
Julian Strawther,SG,22,65,3.2,0.432,0.529,9
Patrick Williams,PF,23,63,3.3,0.397,0.49,9
Nick Richards,C,27,21,3,0.561,0.561,8.9
