date,n
2024-01-01,26
2024-01-02,34
2024-01-03,45
2024-01-04,38
2024-01-05,49
2024-01-06,37
2024-01-07,27
2024-01-08,39
2024-01-09,60
2024-01-10,57
2024-01-11,41
2024-01-12,55
2024-01-13,37
2024-01-14,30
2024-01-15,23
2024-01-16,46
2024-01-17,44
2024-01-18,28
2024-01-19,48
2024-01-20,41
2024-01-21,24
2024-01-22,33
2024-01-23,48
2024-01-24,40
2024-01-25,39
2024-01-26,39
2024-01-27,38
2024-01-28,27
2024-01-29,52
2024-01-30,32
2024-01-31,26
2024-02-01,42
2024-02-02,46
2024-02-03,30
2024-02-04,27
2024-02-05,42
2024-02-06,28
2024-02-07,37
2024-02-08,30
2024-02-09,38
2024-02-10,34
2024-02-11,20
2024-02-12,30
2024-02-13,50
2024-02-14,39
2024-02-15,38
2024-02-16,44
2024-02-17,34
2024-02-18,24
2024-02-19,31
2024-02-20,38
2024-02-21,52
2024-02-22,33
2024-02-23,42
2024-02-24,33
2024-02-25,27
2024-02-26,38
2024-02-27,28
2024-02-28,43
2024-02-29,38
2024-03-01,45
2024-03-02,46
2024-03-03,34
2024-03-04,42
2024-03-05,47
2024-03-06,46
2024-03-07,40
2024-03-08,69
2024-03-09,39
2024-03-10,26
2024-03-11,37
2024-03-12,55
2024-03-13,40
2024-03-14,43
2024-03-15,43
2024-03-16,35
2024-03-17,33
2024-03-18,36
2024-03-19,37
2024-03-20,46
2024-03-21,36
2024-03-22,38
2024-03-23,38
2024-03-24,31
2024-03-25,38
2024-03-26,35
2024-03-27,43
2024-03-28,53
2024-03-29,30
2024-03-30,30
2024-03-31,28
2024-04-01,30
2024-04-02,47
2024-04-03,46
2024-04-04,57
2024-04-05,45
2024-04-06,46
2024-04-07,33
2024-04-08,44
2024-04-09,56
2024-04-10,52
2024-04-11,50
2024-04-12,50
2024-04-13,45
2024-04-14,42
2024-04-15,48
2024-04-16,42
2024-04-17,47
2024-04-18,55
2024-04-19,41
2024-04-20,41
2024-04-21,28
2024-04-22,28
2024-04-23,41
2024-04-24,37
2024-04-25,47
2024-04-26,41
2024-04-27,44
2024-04-28,30
2024-04-29,53
2024-04-30,63
2024-05-01,39
2024-05-02,54
2024-05-03,69
2024-05-04,48
2024-05-05,43
2024-05-06,66
2024-05-07,39
2024-05-08,69
2024-05-09,43
2024-05-10,44
2024-05-11,38
2024-05-12,35
2024-05-13,44
2024-05-14,54
2024-05-15,52
2024-05-16,44
2024-05-17,48
2024-05-18,38
2024-05-19,30
2024-05-20,40
2024-05-21,47
2024-05-22,43
2024-05-23,44
2024-05-24,51
2024-05-25,44
2024-05-26,44
2024-05-27,23
2024-05-28,42
2024-05-29,41
2024-05-30,39
2024-05-31,28
2024-06-01,39
2024-06-02,37
2024-06-03,49
2024-06-04,38
2024-06-05,39
2024-06-06,29
2024-06-07,54
2024-06-08,27
2024-06-09,27
2024-06-10,38
2024-06-11,44
2024-06-12,44
2024-06-13,36
2024-06-14,48
2024-06-15,30
2024-06-16,29
2024-06-17,51
2024-06-18,49
2024-06-19,34
2024-06-20,39
2024-06-21,34
2024-06-22,41
2024-06-23,30
2024-06-24,32
2024-06-25,36
2024-06-26,61
2024-06-27,46
2024-06-28,51
2024-06-29,41
2024-06-30,35
2024-07-01,33
2024-07-02,50
2024-07-03,40
2024-07-04,34
2024-07-05,53
2024-07-06,27
2024-07-07,28
2024-07-08,38
2024-07-09,45
2024-07-10,42
2024-07-11,46
2024-07-12,45
2024-07-13,30
2024-07-14,33
2024-07-15,42
2024-07-16,31
2024-07-17,39
2024-07-18,30
2024-07-19,50
2024-07-20,33
2024-07-21,30
2024-07-22,58
2024-07-23,30
2024-07-24,45
2024-07-25,38
2024-07-26,44
2024-07-27,42
2024-07-28,34
2024-07-29,40
2024-07-30,51
2024-07-31,51
2024-08-01,51
2024-08-02,58
2024-08-03,35
2024-08-04,39
2024-08-05,34
2024-08-06,34
2024-08-07,40
2024-08-08,31
2024-08-09,33
2024-08-10,34
2024-08-11,25
2024-08-12,31
2024-08-13,32
2024-08-14,42
2024-08-15,46
2024-08-16,55
2024-08-17,27
2024-08-18,52
2024-08-19,50
2024-08-20,42
2024-08-21,55
2024-08-22,63
