date,n
2023-01-01,55
2023-01-02,33
2023-01-03,57
2023-01-04,56
2023-01-05,57
2023-01-06,51
2023-01-07,59
2023-01-08,39
2023-01-09,53
2023-01-10,58
2023-01-11,65
2023-01-12,89
2023-01-13,79
2023-01-14,37
2023-01-15,46
2023-01-16,51
2023-01-17,60
2023-01-18,71
2023-01-19,97
2023-01-20,59
2023-01-21,59
2023-01-22,71
2023-01-23,87
2023-01-24,76
2023-01-25,45
2023-01-26,72
2023-01-27,75
2023-01-28,63
2023-01-29,59
2023-01-30,70
2023-01-31,142
2023-02-01,86
2023-02-02,76
2023-02-03,87
2023-02-04,46
2023-02-05,43
2023-02-06,60
2023-02-07,47
2023-02-08,82
2023-02-09,90
2023-02-10,60
2023-02-11,68
2023-02-12,28
2023-02-13,42
2023-02-14,58
2023-02-15,58
2023-02-16,87
2023-02-17,82
2023-02-18,50
2023-02-19,55
2023-02-20,50
2023-02-21,41
2023-02-22,51
2023-02-23,84
2023-02-24,50
2023-02-25,52
2023-02-26,61
2023-02-27,63
2023-02-28,119
2023-03-01,87
2023-03-02,66
2023-03-03,98
2023-03-04,36
2023-03-05,40
2023-03-06,88
2023-03-07,95
2023-03-08,99
2023-03-09,76
2023-03-10,62
2023-03-11,63
2023-03-12,44
2023-03-13,67
2023-03-14,77
2023-03-15,104
2023-03-16,78
2023-03-17,81
2023-03-18,65
2023-03-19,49
2023-03-20,61
2023-03-21,67
2023-03-22,87
2023-03-23,85
2023-03-24,124
2023-03-25,75
2023-03-26,44
2023-03-27,51
2023-03-28,49
2023-03-29,63
2023-03-30,91
2023-03-31,84
2023-04-01,55
2023-04-02,51
2023-04-03,88
2023-04-04,64
2023-04-05,103
2023-04-06,76
2023-04-07,73
2023-04-08,71
2023-04-09,39
2023-04-10,61
2023-04-11,93
2023-04-12,72
2023-04-13,81
2023-04-14,95
2023-04-15,60
2023-04-16,61
2023-04-17,57
2023-04-18,90
2023-04-19,76
2023-04-20,88
2023-04-21,125
2023-04-22,69
2023-04-23,46
2023-04-24,54
2023-04-25,71
2023-04-26,66
2023-04-27,73
2023-04-28,83
2023-04-29,72
2023-04-30,91
2023-05-01,100
2023-05-02,55
2023-05-03,76
2023-05-04,67
2023-05-05,98
2023-05-06,70
2023-05-07,41
2023-05-08,72
2023-05-09,78
2023-05-10,61
2023-05-11,88
2023-05-12,91
2023-05-13,61
2023-05-14,37
2023-05-15,84
2023-05-16,112
2023-05-17,74
2023-05-18,63
2023-05-19,82
2023-05-20,87
2023-05-21,64
2023-05-22,61
2023-05-23,75
2023-05-24,75
2023-05-25,102
2023-05-26,87
2023-05-27,56
2023-05-28,52
2023-05-29,44
2023-05-30,59
2023-05-31,77
2023-06-01,75
2023-06-02,86
2023-06-03,74
2023-06-04,50
2023-06-05,55
2023-06-06,67
2023-06-07,57
2023-06-08,76
2023-06-09,83
2023-06-10,54
2023-06-11,83
2023-06-12,49
2023-06-13,78
2023-06-14,64
2023-06-15,81
2023-06-16,88
2023-06-17,71
2023-06-18,51
2023-06-19,107
2023-06-20,75
2023-06-21,75
2023-06-22,45
2023-06-23,83
2023-06-24,59
2023-06-25,48
2023-06-26,61
2023-06-27,57
2023-06-28,71
2023-06-29,61
2023-06-30,84
2023-07-01,95
2023-07-02,68
2023-07-03,82
2023-07-04,57
2023-07-05,64
2023-07-06,57
2023-07-07,58
2023-07-08,53
2023-07-09,51
2023-07-10,62
2023-07-11,83
2023-07-12,80
2023-07-13,77
2023-07-14,50
2023-07-15,77
2023-07-16,43
2023-07-17,79
2023-07-18,54
2023-07-19,39
2023-07-20,80
2023-07-21,59
2023-07-22,71
2023-07-23,64
2023-07-24,59
2023-07-25,70
2023-07-26,71
2023-07-27,91
2023-07-28,77
2023-07-29,62
2023-07-30,41
2023-07-31,69
2023-08-01,62
2023-08-02,57
2023-08-03,71
2023-08-04,61
2023-08-05,60
2023-08-06,56
2023-08-07,80
2023-08-08,80
2023-08-09,99
2023-08-10,77
2023-08-11,92
2023-08-12,59
2023-08-13,51
2023-08-14,101
2023-08-15,66
2023-08-16,59
2023-08-17,59
2023-08-18,86
2023-08-19,60
2023-08-20,52
2023-08-21,62
2023-08-22,76
2023-08-23,72
2023-08-24,106
2023-08-25,92
2023-08-26,65
2023-08-27,48
2023-08-28,95
2023-08-29,43
2023-08-30,62
2023-08-31,45
2023-09-01,84
2023-09-02,61
2023-09-03,49
2023-09-04,44
2023-09-05,61
2023-09-06,82
2023-09-07,61
2023-09-08,56
2023-09-09,53
2023-09-10,38
2023-09-11,76
2023-09-12,107
2023-09-13,63
2023-09-14,54
2023-09-15,59
2023-09-16,40
2023-09-17,70
2023-09-18,61
2023-09-19,49
2023-09-20,46
2023-09-21,56
2023-09-22,92
2023-09-23,48
2023-09-24,53
2023-09-25,33
2023-09-26,70
2023-09-27,69
2023-09-28,69
2023-09-29,63
2023-09-30,59
2023-10-01,59
2023-10-02,64
2023-10-03,85
2023-10-04,57
2023-10-05,69
2023-10-06,81
2023-10-07,52
2023-10-08,51
2023-10-09,77
2023-10-10,72
2023-10-11,80
2023-10-12,98
2023-10-13,58
2023-10-14,107
2023-10-15,52
2023-10-16,69
2023-10-17,81
2023-10-18,82
2023-10-19,115
2023-10-20,75
2023-10-21,65
2023-10-22,53
2023-10-23,66
2023-10-24,56
2023-10-25,71
2023-10-26,63
2023-10-27,134
2023-10-28,68
2023-10-29,89
2023-10-30,87
2023-10-31,64
2023-11-01,61
2023-11-02,63
2023-11-03,72
2023-11-04,50
2023-11-05,54
2023-11-06,62
2023-11-07,66
2023-11-08,77
2023-11-09,98
2023-11-10,118
2023-11-11,43
2023-11-12,52
2023-11-13,78
2023-11-14,73
2023-11-15,95
2023-11-16,77
2023-11-17,173
2023-11-18,59
2023-11-19,54
2023-11-20,126
2023-11-21,141
2023-11-22,74
2023-11-23,47
2023-11-24,46
2023-11-25,50
2023-11-26,67
2023-11-27,62
2023-11-28,58
2023-11-29,73
2023-11-30,86
2023-12-01,125
2023-12-02,61
2023-12-03,32
2023-12-04,68
2023-12-05,89
2023-12-06,57
2023-12-07,93
2023-12-08,76
2023-12-09,89
2023-12-10,47
2023-12-11,48
2023-12-12,93
2023-12-13,77
2023-12-14,73
2023-12-15,83
2023-12-16,74
2023-12-17,64
2023-12-18,83
2023-12-19,53
2023-12-20,91
2023-12-21,65
2023-12-22,68
2023-12-23,76
2023-12-24,58
2023-12-25,46
2023-12-26,51
2023-12-27,63
2023-12-28,33
2023-12-29,51
2023-12-30,65
2023-12-31,60
